Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;27,547;27,547;0;0;1,881;1.004647;4.912281;0.000000;11,806;15,741;27,547;0;0;0;0;0;4.088579;0.000000;0.000000;27,675;9,240
1;0.005170017028172039;22;0;0.814104;27,547;27,547;0;0;1,881;1.004647;4.912281;0.814105;11,806;15,741;27,547;0;0;0;0.0002346883795236548;0.0002358005351344403;4.194151;0.000000;0.000000;27,675;9,240
2;0.01010973094647131;21;0;0.743134;27,547;27,547;0;0;1,881;1.004647;4.912281;1.558330;11,806;15,741;27,547;0;0;0;0.0002349649194990132;0.0002355410190258369;4.194151;0.000000;0.000000;27,675;9,240
3;0.01504534694049617;21;0;0.776531;27,547;27,547;0;0;1,881;1.004647;4.912281;2.335896;11,806;15,741;27,547;0;0;0;0.000234723696429688;0.0002352693303701934;4.194151;0.000000;0.000000;27,675;9,240
4;0.02020919014174393;22;0;0.797972;27,547;27,547;0;0;1,881;1.004647;4.912281;3.134846;11,806;15,741;27,547;0;0;0;0.0002345808285548098;0.0002347980742227047;4.194151;0.000000;0.000000;27,675;9,240
5;0.02512941141330145;21;0;0.719182;27,547;27,547;0;0;1,881;1.004647;4.912281;3.854841;11,806;15,741;27,547;0;0;0;0.0002339007566751669;0.0002345382033227887;4.194151;0.000000;0.000000;27,675;9,240
6;0.03003681760719677;21;0;0.758399;27,547;27,547;0;0;1,980;1.004647;4.666667;4.614097;11,806;15,741;27,547;0;0;0;0.0002336242693862946;0.0002338579227585364;4.194151;0.000000;0.000000;27,675;9,240
7;0.03517148855837389;22;0;0.777935;27,547;27,547;0;0;1,980;1.004647;4.666667;5.393015;11,806;15,741;27,547;0;0;0;0.0002330507425852047;0.0002336134600227404;4.194151;0.000000;0.000000;27,675;9,240
8;0.04005852114238414;21;0;0.801009;27,547;27,547;0;0;1,980;1.004647;4.666667;6.194856;11,806;15,741;27,547;0;0;0;0.000232453151738985;0.000233016980769759;4.194151;0.000000;0.000000;27,675;9,240
9;0.04516770632982446;22;0;0.841416;27,547;27,547;0;0;1,980;1.004647;4.666667;7.037832;11,806;15,741;27,547;0;0;0;0.0002320574827772396;0.0002324314116930141;4.194151;0.000000;0.000000;27,675;9,240
10;0.05003739064992327;21;0;0.776491;27,547;27,547;0;0;1,980;1.004647;4.666667;7.815145;11,806;15,741;27,547;0;0;0;0.0002317648421320795;0.0002320411131780291;4.194151;0.000000;0.000000;27,675;9,240
11;0.05513464614938203;22;0;0.800991;27,547;27,547;0;0;1,980;1.004647;4.666667;8.617044;11,806;15,741;27,547;0;0;0;0.0002315950079610589;0.0002317565552515447;4.194151;0.000000;0.000000;27,675;9,240
12;0.06022685030137819;22;0;0.795862;27,547;27,547;0;0;1,800;1.004647;5.133333;9.413995;11,806;15,741;27,547;0;0;0;0.0002313641728225821;0.0002315823563257721;4.194151;0.000000;0.000000;27,675;9,240
13;0.06507350598699287;21;0;0.758821;27,547;27,547;0;0;1,800;1.004647;5.133333;10.173939;11,806;15,741;27,547;0;0;0;0.0002287322838497132;0.0002313577652548378;4.194151;0.000000;0.000000;27,675;9,240
14;0.07005365694946906;22;0;0.771963;27,547;27,547;0;0;1,800;1.004647;5.133333;10.946881;11,806;15,741;27,547;0;0;0;0.0002252304103049868;0.0002284322913503964;4.194151;0.000000;0.000000;27,675;9,240
15;0.07501075884630728;22;0;0.765116;27,547;27,547;0;0;1,800;1.004647;5.133333;11.712853;11,806;15,741;27,547;0;0;0;0.0002251640794337131;0.0002256520288566353;4.194151;0.000000;0.000000;27,675;9,240
16;0.08018222957392618;23;0;0.820181;27,547;27,547;0;0;1,800;1.004647;5.133333;12.533840;11,806;15,741;27,547;0;0;0;0.000223041319263917;0.0002258827408881303;4.194151;0.000000;0.000000;27,675;9,240
17;0.08508404112261726;22;0;0.775200;27,547;27,547;0;0;1,800;1.004647;5.133333;13.309868;11,806;15,741;27,547;0;0;0;0.0002227723678593701;0.0002229581317538598;4.194151;0.000000;0.000000;27,675;9,240
18;0.09021755229188345;23;0;0.859030;27,547;27,547;0;0;1,890;1.004647;4.888889;14.169879;11,806;15,741;27,547;0;0;0;0.000222891796217587;0.000223570884832091;4.194151;0.000000;0.000000;27,675;9,240
19;0.09511835258701792;22;0;0.749961;27,547;27,547;0;0;1,890;1.004647;4.888889;14.920854;11,806;15,741;27,547;0;0;0;0.0002194396854330225;0.0002238818812350772;4.194151;0.000000;0.000000;27,675;9,240
20;0.100099047176271;23;0;0.785053;27,547;27,547;0;0;1,890;1.004647;4.888889;15.706844;11,806;15,741;27,547;0;0;0;0.0002157469096817709;0.0002189888934559723;4.194151;0.000000;0.000000;27,675;9,240
21;0.1050785280459391;23;0;0.816162;27,547;27,547;0;0;1,980;1.004647;4.666667;16.523838;11,806;15,741;27,547;0;0;0;0.0002159618436054192;0.00021715312624809;4.194151;0.000000;0.000000;27,675;9,240
22;0.1101007139667542;23;0;0.835196;27,547;27,547;0;0;1,980;1.004647;4.666667;17.359845;11,806;15,741;27,547;0;0;0;0.000217246882614748;0.0002196142305996206;4.194151;0.000000;0.000000;27,675;9,240
23;0.1151757021369064;23;0;0.823084;27,547;27,547;0;0;1,980;1.004647;4.666667;18.186847;11,806;15,741;27,547;0;0;0;0.0002186044135484898;0.0002212822106179888;4.194151;0.000000;0.000000;27,675;9,240
24;0.1200505376985583;23;0;0.905145;27,547;27,547;0;0;1,980;1.004647;4.666667;19.092850;11,806;15,741;27,547;0;0;0;0.0002067221108913053;0.0002176300506126809;4.194151;0.000000;0.000000;27,675;9,240
25;0.125046921957219;25;0;0.869961;27,547;27,547;0;0;1,980;1.004647;4.666667;19.963857;11,806;15,741;27,547;0;0;0;0.000195846930344396;0.0002060283276755893;4.194151;0.000000;0.000000;27,675;9,240
26;0.1300253543288779;26;0;0.938120;27,547;27,547;0;0;1,980;1.004647;4.666667;20.902845;11,806;15,741;27,547;0;0;0;0.0001870009455418521;0.0001956965778467938;4.194151;0.000000;0.000000;27,675;9,240
27;0.1351220281667612;26;0;0.975107;27,547;27,547;0;0;1,782;1.004647;5.185185;21.878908;11,806;15,741;27,547;0;0;0;0.0001903212015967254;0.000204667929458113;4.194151;0.000000;0.000000;27,675;9,240
28;0.1400250927594025;23;0;0.825929;27,547;27,547;0;0;1,863;1.004647;4.959742;22.705828;11,806;15,741;27,547;0;0;0;0.0002055293214325075;0.0002162050913321981;4.194151;0.000000;0.000000;27,675;9,240
29;0.1450296843484418;23;0;0.858124;27,547;27,547;0;0;1,863;1.004647;4.959742;23.564853;11,806;15,741;27,547;0;0;0;0.000215216801710788;0.0002197979260542495;4.194151;0.000000;0.000000;27,675;9,240
30;0.1501389450478355;24;0;0.851921;27,547;27,547;0;0;1,863;1.004647;4.959742;24.420855;11,806;15,741;27,547;0;0;0;0.000206094366790615;0.0002192959386594204;4.194151;0.000000;0.000000;27,675;9,240
31;0.1551235864812639;25;0;0.926137;27,547;27,547;0;0;1,863;1.004647;4.959742;25.347855;11,806;15,741;27,547;0;0;0;0.0001945886164765002;0.0002074066355293041;4.194151;0.000000;0.000000;27,675;9,240
32;0.1600701893332225;24;0;0.836195;27,547;27,547;0;0;1,863;1.004647;4.959742;26.184892;11,806;15,741;27,547;0;0;0;0.0002025779892738977;0.0002097309155315402;4.194151;0.000000;0.000000;27,675;9,240
33;0.1650949671768364;26;0;0.985077;27,547;27,547;0;0;1,863;1.004647;4.959742;27.170866;11,806;15,741;27,547;0;0;0;0.0001701200422625109;0.0002018384100058966;4.194151;0.000000;0.000000;27,675;9,240
34;0.1700614146674629;37;0;1.347330;27,547;27,547;0;0;1,863;1.004647;4.959742;28.522086;11,806;15,741;27,547;0;0;0;0.0001244600685452437;0.0001667394400398616;4.194151;0.000000;0.000000;27,675;9,240
35;0.1750713929248088;38;0;1.369905;27,547;27,547;0;0;1,863;1.004647;4.959742;29.892844;11,806;15,741;27,547;0;0;0;0.0001274912030504622;0.0001352315149627424;4.194151;0.000000;0.000000;27,675;9,240
36;0.180054458051951;38;0;1.413189;27,547;27,547;0;0;1,656;1.004647;5.579710;31.306852;11,806;15,741;27,547;0;0;0;0.0001276290203627763;0.0001346615333511765;4.194151;0.000000;0.000000;27,675;9,240
37;0.1850574412792761;35;0;1.288182;27,547;27,547;0;0;1,656;1.004647;5.579710;32.595839;11,806;15,741;27,547;0;0;0;0.0001317780243555385;0.0001514124354811312;4.194151;0.000000;0.000000;27,675;9,240
38;0.1900133516676666;36;0;1.343773;27,547;27,547;0;0;1,656;1.004647;5.579710;33.940450;11,806;15,741;27,547;0;0;0;0.0001301236682909639;0.0001505404224983732;4.194151;0.000000;0.000000;27,675;9,240
39;0.1950545456407466;34;0;1.255444;27,547;27,547;0;0;1,656;1.004647;5.579710;35.196885;11,806;15,741;27,547;0;0;0;0.0001363371136753892;0.0001637890676930245;4.194151;0.000000;0.000000;27,675;9,240
40;0.2000721401336744;35;0;1.261101;27,547;27,547;0;0;1,656;1.004647;5.579710;36.458832;11,806;15,741;27,547;0;0;0;0.0001361990388358972;0.0001542275288902588;4.194151;0.000000;0.000000;27,675;9,240
41;0.2050660108458179;35;0;1.264087;27,547;27,547;0;0;1,656;1.004647;5.579710;37.723815;11,806;15,741;27,547;0;0;0;0.000134030035545141;0.0001528204225765506;4.194151;0.000000;0.000000;27,675;9,240
42;0.210039008817166;33;0;1.186134;27,547;27,547;0;0;1,656;1.004647;5.579710;38.910836;11,806;15,741;27,547;0;0;0;0.0001378087758653647;0.0001684644828816999;4.194151;0.000000;0.000000;27,675;9,240
43;0.2150725530665895;32;0;1.185215;27,547;27,547;0;0;1,449;1.004647;6.376812;40.096906;11,806;15,741;27,547;0;0;0;0.0001429384248780327;0.0001814604719611518;4.194151;0.000000;0.000000;27,675;9,240
44;0.2200506300493668;33;0;1.219084;27,547;27,547;0;0;1,449;1.004647;6.376812;41.316842;11,806;15,741;27,547;0;0;0;0.0001403306877898934;0.000176744482784877;4.194151;0.000000;0.000000;27,675;9,240
45;0.225174405057168;29;0;0.995077;27,547;27,547;0;0;1,449;1.004647;6.376812;42.312844;11,806;15,741;27,547;0;0;0;0.0001643985919545586;0.0001851987500789221;4.194151;0.000000;0.000000;27,675;9,240
46;0.2301043080501984;28;0;0.981195;27,547;27,547;0;0;1,449;1.004647;6.376812;43.294887;11,806;15,741;27,547;0;0;0;0.0001644828374188887;0.0001822806201591094;4.194151;0.000000;0.000000;27,675;9,240
47;0.2351471305754599;27;0;0.968000;27,547;27,547;0;0;1,449;1.004647;6.376812;44.263804;11,806;15,741;27,547;0;0;0;0.000165627168791762;0.0001967890587811284;4.194151;0.000000;0.000000;27,675;9,240
48;0.2400395816353507;24;0;0.858228;27,547;27,547;0;0;1,449;1.004647;6.376812;45.122912;11,806;15,741;27,547;0;0;0;0.0001986091568932669;0.0002066537446077585;4.194151;0.000000;0.000000;27,675;9,240
49;0.245101497198468;25;0;0.875008;27,547;27,547;0;0;1,449;1.004647;6.376812;45.998829;11,806;15,741;27,547;0;0;0;0.0001969787482784761;0.0002075510840508134;4.194151;0.000000;0.000000;27,675;9,240
50;0.2500767058966694;25;0;0.878996;27,547;27,547;0;0;1,449;1.004647;6.376812;46.878810;11,806;15,741;27,547;0;0;0;0.0001913050146566409;0.0002054883288865418;4.194151;0.000000;0.000000;27,675;9,240
51;0.2550711813166872;24;0;0.864016;27,547;27,547;0;0;1,449;1.004647;6.376812;47.743829;11,806;15,741;27,547;0;0;0;0.0002060162304729756;0.0002117660260297493;4.194151;0.000000;0.000000;27,675;9,240
52;0.2601129758705694;24;0;0.883433;27,547;27,547;0;0;1,449;1.004647;6.376812;48.628113;11,806;15,741;27,547;0;0;0;0.0002065615756509666;0.0002142693834419287;4.194151;0.000000;0.000000;27,675;9,240
53;0.265052548153888;24;0;0.860023;27,547;27,547;0;0;1,449;1.004647;6.376812;49.489063;11,806;15,741;27,547;0;0;0;0.0001903376052290799;0.0002159931114683593;4.194151;0.000000;0.000000;27,675;9,240
54;0.2701110106374157;26;0;0.932747;27,547;27,547;0;0;1,449;1.004647;6.376812;50.422842;11,806;15,741;27,547;0;0;0;0.0001909564627700669;0.0002005896245406994;4.194151;0.000000;0.000000;27,675;9,240
55;0.2752004815195322;25;0;0.929178;27,547;27,547;0;0;1,449;1.004647;6.376812;51.352874;11,806;15,741;27,547;0;0;0;0.0002014157534777038;0.0002073412857333896;4.194151;0.000000;0.000000;27,675;9,240
56;0.2800925243687738;24;0;0.831109;27,547;27,547;0;0;1,449;1.004647;6.376812;52.184851;11,806;15,741;27,547;0;0;0;0.000199258236897006;0.0002099201113920889;4.194151;0.000000;0.000000;27,675;9,240
57;0.2851986259738183;24;0;0.848166;27,547;27,547;0;0;1,449;1.004647;6.376812;53.033850;11,806;15,741;27,547;0;0;0;0.0002085778923072032;0.0002160181151896751;4.194151;0.000000;0.000000;27,675;9,240
58;0.2900372916024426;23;0;0.818117;27,547;27,547;0;0;1,449;1.004647;6.376812;53.852847;11,806;15,741;27,547;0;0;0;0.0002068554718938845;0.0002143355079183037;4.194151;0.000000;0.000000;27,675;9,240
59;0.295187578698531;24;0;0.850010;27,547;27,547;0;0;1,449;1.004647;6.376812;54.703850;11,806;15,741;27,547;0;0;0;0.0002126048252601063;0.0002169918848244465;4.194151;0.000000;0.000000;27,675;9,240
60;0.3002083716351602;23;0;0.820127;27,547;27,547;0;0;1,449;1.004647;6.376812;55.524846;11,806;15,741;27,547;0;0;0;0.00021609776591158;0.0002204808411297269;4.194151;0.000000;0.000000;27,675;9,240
