part,time [s],fvel.x [m/s],fvel.y [m/s],fvel.z [m/s],fomega.x [rad/s],fomega.y [rad/s],fomega.z [rad/s],center.x [m],center.y [m],center.z [m],surge [m],sway [m],heave [m],roll [deg],pitch [deg],yaw [deg],face.x [m/s^2],face.y [m/s^2],face.z [m/s^2],faceomega.x [rad/s^2],faceomega.y [rad/s^2],faceomega.z [rad/s^2],extforcelin.x [N],extforcelin.y [N],extforcelin.z [N],extforceang.x [Nm],extforceang.y [Nm],extforceang.z [Nm],fluidforcelin.x [N],fluidforcelin.y [N],fluidforcelin.z [N],fluidforceang.x [Nm],fluidforceang.y [Nm],fluidforceang.z [Nm],pre-acelin.x [m/s^2],pre-acelin.y [m/s^2],pre-acelin.z [m/s^2],pre-aceang.x [rad/s^2],pre-aceang.y [rad/s^2],pre-aceang.z [rad/s^2]
0,  0.000000000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.500000000000E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
1,  5.170017028172E-03,  0.0000000E+00,  0.0000000E+00, -5.0717868E-02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.498748532634E-01,  0.0000000E+00,  0.0000000E+00, -1.2514674E-04,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8100014E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
2,  1.010973094647E-02,  0.0000000E+00,  0.0000000E+00, -9.9176474E-02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.495103350250E-01,  0.0000000E+00,  0.0000000E+00, -4.8966498E-04,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8100119E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
3,  1.504534694050E-02,  0.0000000E+00,  0.0000000E+00, -1.4759485E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.489070406824E-01,  0.0000000E+00,  0.0000000E+00, -1.0929593E-03,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8100300E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
4,  2.020919014174E-02,  0.0000000E+00,  0.0000000E+00, -1.9825216E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.480200359462E-01,  0.0000000E+00,  0.0000000E+00, -1.9799641E-03,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099699E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
5,  2.512941141330E-02,  0.0000000E+00,  0.0000000E+00, -2.4651951E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.469315029349E-01,  0.0000000E+00,  0.0000000E+00, -3.0684971E-03,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8100157E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
6,  3.003681760720E-02,  0.0000000E+00,  0.0000000E+00, -2.9466119E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.456092311497E-01,  0.0000000E+00,  0.0000000E+00, -4.3907689E-03,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8100166E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
7,  3.517148855837E-02,  0.0000000E+00,  0.0000000E+00, -3.4503230E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.439728015790E-01,  0.0000000E+00,  0.0000000E+00, -6.0271984E-03,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099909E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
8,  4.005852114238E-02,  0.0000000E+00,  0.0000000E+00, -3.9297408E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.421750493180E-01,  0.0000000E+00,  0.0000000E+00, -7.8249507E-03,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099527E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
9,  4.516770632982E-02,  0.0000000E+00,  0.0000000E+00, -4.4309518E-01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  7.500000000000E-01,  3.000000000000E-01,  5.400450529335E-01,  0.0000000E+00,  0.0000000E+00, -9.9549471E-03,  0.0000000E+00, -0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099833E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -9.8099995E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
