Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;27,547;27,547;0;0;1,881;1.004647;4.912281;0.000000;11,806;15,741;27,547;0;0;0;0;0;4.088579;0.000000;0.000000;27,675;9,240
1;0.005170017028172039;22;0;0.762102;27,547;27,547;0;0;1,881;1.004647;4.912281;0.762102;11,806;15,741;27,547;0;0;0;0.0002346883795236548;0.0002358005351344403;4.194151;0.000000;0.000000;27,675;9,240
2;0.01010973094647131;21;0;0.752059;27,547;27,547;0;0;1,881;1.004647;4.912281;1.515125;11,806;15,741;27,547;0;0;0;0.0002349649194990132;0.0002355410190258369;4.194151;0.000000;0.000000;27,675;9,240
3;0.01504534694049617;21;0;0.743882;27,547;27,547;0;0;1,881;1.004647;4.912281;2.259942;11,806;15,741;27,547;0;0;0;0.000234723696429688;0.0002352693303701934;4.194151;0.000000;0.000000;27,675;9,240
4;0.02020919014174393;22;0;0.768073;27,547;27,547;0;0;1,881;1.004647;4.912281;3.028884;11,806;15,741;27,547;0;0;0;0.0002345808285548098;0.0002347980742227047;4.194151;0.000000;0.000000;27,675;9,240
5;0.02512941141330145;21;0;0.734522;27,547;27,547;0;0;1,881;1.004647;4.912281;3.764286;11,806;15,741;27,547;0;0;0;0.0002339007566751669;0.0002345382033227887;4.194151;0.000000;0.000000;27,675;9,240
6;0.03003681760719677;21;0;0.711003;27,547;27,547;0;0;1,980;1.004647;4.666667;4.476146;11,806;15,741;27,547;0;0;0;0.0002336242693862946;0.0002338579227585364;4.194151;0.000000;0.000000;27,675;9,240
7;0.03517148855837389;22;0;0.768167;27,547;27,547;0;0;1,980;1.004647;4.666667;5.245375;11,806;15,741;27,547;0;0;0;0.0002330507425852047;0.0002336134600227404;4.194151;0.000000;0.000000;27,675;9,240
8;0.04005852114238414;21;0;0.812725;27,547;27,547;0;0;1,980;1.004647;4.666667;6.058936;11,806;15,741;27,547;0;0;0;0.000232453151738985;0.000233016980769759;4.194151;0.000000;0.000000;27,675;9,240
9;0.04516770632982446;22;0;0.813456;27,547;27,547;0;0;1,980;1.004647;4.666667;6.873264;11,806;15,741;27,547;0;0;0;0.0002320574827772396;0.0002324314116930141;4.194151;0.000000;0.000000;27,675;9,240
10;0.05003739064992327;21;0;0.750491;27,547;27,547;0;0;1,980;1.004647;4.666667;7.624844;11,806;15,741;27,547;0;0;0;0.0002317648421320795;0.0002320411131780291;4.194151;0.000000;0.000000;27,675;9,240
11;0.05513464614938203;22;0;0.854346;27,547;27,547;0;0;1,980;1.004647;4.666667;8.480205;11,806;15,741;27,547;0;0;0;0.0002315950079610589;0.0002317565552515447;4.194151;0.000000;0.000000;27,675;9,240
12;0.06022685030137819;22;0;0.748850;27,547;27,547;0;0;1,800;1.004647;5.133333;9.229909;11,806;15,741;27,547;0;0;0;0.0002313641728225821;0.0002315823563257721;4.194151;0.000000;0.000000;27,675;9,240
13;0.06507350598699287;21;0;0.742139;27,547;27,547;0;0;1,800;1.004647;5.133333;9.972907;11,806;15,741;27,547;0;0;0;0.0002287322838497132;0.0002313577652548378;4.194151;0.000000;0.000000;27,675;9,240
14;0.07005365694946906;22;0;0.761229;27,547;27,547;0;0;1,800;1.004647;5.133333;10.734986;11,806;15,741;27,547;0;0;0;0.0002252304103049868;0.0002284322913503964;4.194151;0.000000;0.000000;27,675;9,240
15;0.07501075884630728;22;0;0.750859;27,547;27,547;0;0;1,800;1.004647;5.133333;11.486868;11,806;15,741;27,547;0;0;0;0.0002251640794337131;0.0002256520288566353;4.194151;0.000000;0.000000;27,675;9,240
16;0.08018222957392618;23;0;0.781095;27,547;27,547;0;0;1,800;1.004647;5.133333;12.268853;11,806;15,741;27,547;0;0;0;0.000223041319263917;0.0002258827408881303;4.194151;0.000000;0.000000;27,675;9,240
17;0.08508404112261726;22;0;0.760147;27,547;27,547;0;0;1,800;1.004647;5.133333;13.029859;11,806;15,741;27,547;0;0;0;0.0002227723678593701;0.0002229581317538598;4.194151;0.000000;0.000000;27,675;9,240
18;0.09021755229188345;23;0;0.800115;27,547;27,547;0;0;1,890;1.004647;4.888889;13.830854;11,806;15,741;27,547;0;0;0;0.000222891796217587;0.000223570884832091;4.194151;0.000000;0.000000;27,675;9,240
