#Time;Degrees
0.000000;0.000000000
0.010000;0.000000000
0.020000;0.000000000
0.030000;0.000000000
0.040000;0.000000000
0.050000;0.000000000
0.060000;0.000000000
0.070000;0.000000000
0.080000;0.000000000
0.090000;0.000000000
0.100000;0.000000000
0.110000;0.000000000
0.120000;0.000000000
0.130000;0.000000000
0.140000;0.000000000
0.150000;0.000000000
0.160000;0.000000000
0.170000;0.000000000
0.180000;0.000000000
0.190000;0.000000000
0.200000;0.000000000
0.210000;0.000000000
0.220000;0.000000000
0.230000;0.000000000
0.240000;0.000000000
0.250000;0.000000000
0.260000;0.000000000
0.270000;0.000000000
0.280000;0.000000000
0.290000;0.000000000
0.300000;0.000000000
0.310000;0.000000000
0.320000;0.000000000
0.330000;0.000000000
0.340000;0.000000000
0.350000;0.000000000
0.360000;0.000000000
0.370000;0.000000000
0.380000;0.000000000
0.390000;0.000000000
0.400000;0.000000000
0.410000;0.000000000
0.420000;0.000000000
0.430000;0.000000000
0.440000;0.000000000
0.450000;0.000000000
0.460000;0.000000000
0.470000;0.000000000
0.480000;0.000000000
0.490000;0.000000000
0.500000;0.000000000
0.510000;-0.056851655
0.520000;-0.227283491
0.530000;-0.510926391
0.540000;-0.907166048
0.550000;-1.415144295
0.560000;-2.033760963
0.570000;-2.761676268
0.580000;-3.597313706
0.590000;-4.538863474
0.600000;-5.584286383
0.610000;-6.731318281
0.620000;-7.977474952
0.630000;-9.320057498
0.640000;-10.756158184
0.650000;-12.282666736
0.660000;-13.896277077
0.670000;-15.593494485
0.680000;-17.370643166
0.690000;-19.223874212
0.700000;-21.149173936
0.710000;-23.142372568
0.720000;-25.199153284
0.730000;-27.315061554
0.740000;-29.485514794
0.750000;-31.705812283
0.760000;-33.971145353
0.770000;-36.276607795
0.780000;-38.617206493
0.790000;-40.987872230
0.800000;-43.383470672
0.810000;-45.798813487
0.820000;-48.228669580
0.830000;-50.667776423
0.840000;-53.110851455
0.850000;-55.552603518
0.860000;-57.987744322
0.870000;-60.410999893
0.880000;-62.817122000
0.890000;-65.200899519
0.900000;-67.557169717
0.910000;-69.880829439
0.920000;-72.166846154
0.930000;-74.410268860
0.940000;-76.606238803
0.950000;-78.750000000
0.960000;-80.836909542
0.970000;-82.862447649
0.980000;-84.822227455
0.990000;-86.712004513
1.000000;-88.527685988
1.010000;-90.265339518
1.020000;-91.921201732
1.030000;-93.491686401
1.040000;-94.973392205
1.050000;-96.363110099
1.060000;-97.657830265
1.070000;-98.854748625
1.080000;-99.951272922
1.090000;-100.945028329
1.100000;-101.833862591
1.110000;-102.615850693
1.120000;-103.289299022
1.130000;-103.852749039
1.140000;-104.304980436
1.150000;-104.645013781
1.160000;-104.872112639
1.170000;-104.985785162
1.180000;-105.000000000
1.190000;-105.000000000
1.200000;-105.000000000
1.210000;-105.000000000
1.220000;-105.000000000
1.230000;-105.000000000
1.240000;-105.000000000
1.250000;-105.000000000
1.260000;-105.000000000
1.270000;-105.000000000
1.280000;-105.000000000
1.290000;-105.000000000
1.300000;-105.000000000
1.310000;-105.000000000
1.320000;-105.000000000
1.330000;-105.000000000
1.340000;-105.000000000
1.350000;-105.000000000
1.360000;-105.000000000
1.370000;-105.000000000
1.380000;-105.000000000
1.390000;-105.000000000
1.400000;-105.000000000
1.410000;-105.000000000
1.420000;-105.000000000
1.430000;-105.000000000
1.440000;-105.000000000
1.450000;-105.000000000
1.460000;-105.000000000
1.470000;-105.000000000
1.480000;-105.000000000
1.490000;-105.000000000
1.500000;-105.000000000
1.510000;-105.000000000
1.520000;-105.000000000
1.530000;-105.000000000
1.540000;-105.000000000
1.550000;-105.000000000
1.560000;-105.000000000
1.570000;-105.000000000
1.580000;-105.000000000
1.590000;-105.000000000
1.600000;-105.000000000
1.610000;-105.000000000
1.620000;-105.000000000
1.630000;-105.000000000
1.640000;-105.000000000
1.650000;-105.000000000
1.660000;-105.000000000
1.670000;-105.000000000
1.680000;-105.000000000
1.690000;-105.000000000
1.700000;-105.000000000
1.710000;-105.000000000
1.720000;-105.000000000
1.730000;-105.000000000
1.740000;-105.000000000
1.750000;-105.000000000
1.760000;-105.000000000
1.770000;-105.000000000
1.780000;-105.000000000
1.790000;-105.000000000
1.800000;-105.000000000
1.810000;-105.000000000
1.820000;-105.000000000
1.830000;-105.000000000
1.840000;-105.000000000
1.850000;-105.000000000
1.860000;-105.000000000
1.870000;-105.000000000
1.880000;-105.000000000
1.890000;-105.000000000
1.900000;-105.000000000
1.910000;-105.000000000
1.920000;-105.000000000
1.930000;-105.000000000
1.940000;-105.000000000
1.950000;-105.000000000
1.960000;-105.000000000
1.970000;-105.000000000
1.980000;-105.000000000
1.990000;-105.000000000
2.000000;-105.000000000
2.010000;-105.000000000
2.020000;-105.000000000
2.030000;-105.000000000
2.040000;-105.000000000
2.050000;-105.000000000
2.060000;-105.000000000
2.070000;-105.000000000
2.080000;-105.000000000
2.090000;-105.000000000
2.100000;-105.000000000
2.110000;-105.000000000
2.120000;-105.000000000
2.130000;-105.000000000
2.140000;-105.000000000
2.150000;-105.000000000
2.160000;-105.000000000
2.170000;-105.000000000
2.180000;-105.000000000
2.190000;-105.000000000
2.200000;-105.000000000
2.210000;-105.000000000
2.220000;-105.000000000
2.230000;-105.000000000
2.240000;-105.000000000
2.250000;-105.000000000
2.260000;-105.000000000
2.270000;-105.000000000
2.280000;-105.000000000
2.290000;-105.000000000
2.300000;-105.000000000
2.310000;-105.000000000
2.320000;-105.000000000
2.330000;-105.000000000
2.340000;-105.000000000
2.350000;-105.000000000
2.360000;-105.000000000
2.370000;-105.000000000
2.380000;-105.000000000
2.390000;-105.000000000
2.400000;-105.000000000
2.410000;-105.000000000
2.420000;-105.000000000
2.430000;-105.000000000
2.440000;-105.000000000
2.450000;-105.000000000
2.460000;-105.000000000
2.470000;-105.000000000
2.480000;-105.000000000
2.490000;-105.000000000
2.500000;-105.000000000
