Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;84,221;84,221;0;0;2,808;1.001520;11.891026;0.000000;24,161;60,060;84,221;0;0;0;0;0;8.248976;14.418659;0.509529;84,349;33,390
1;0.001006663655501357;53;52;1.305921;84,221;84,221;0;0;2,808;1.001520;11.891026;1.305921;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
2;0.002013327311002715;52;52;0.948683;84,221;84,221;0;0;2,808;1.001520;11.891026;2.257208;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
3;0.003000632050052124;51;51;0.740983;84,221;84,221;0;0;2,808;1.001520;11.891026;3.000457;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
4;0.004007295705553479;52;52;0.428095;84,221;84,221;0;0;2,808;1.001520;11.891026;3.430761;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
5;0.005013959361054814;52;52;0.381107;84,221;84,221;0;0;2,808;1.001520;11.891026;3.814092;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
6;0.0060012641001042;51;51;0.432423;84,221;84,221;0;0;2,808;1.001520;11.891026;4.248681;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
7;0.007007927755605535;52;52;0.380694;84,221;84,221;0;0;2,808;1.001520;11.891026;4.632090;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
8;0.008014591411106879;52;52;0.330049;84,221;84,221;0;0;2,808;1.001520;11.891026;4.964694;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
9;0.00900189615015631;51;51;0.431769;84,221;84,221;0;0;2,808;1.001520;11.891026;5.398794;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
10;0.01000855980565769;52;52;0.364475;84,221;84,221;0;0;2,808;1.001520;11.891026;5.765467;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
11;0.01101522346115907;52;52;0.437966;84,221;84,221;0;0;2,808;1.001520;11.891026;6.205690;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
12;0.0120025282002085;51;51;0.396622;84,221;84,221;0;0;2,808;1.001520;11.891026;6.604618;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
13;0.01300919185570988;52;52;0.439510;84,221;84,221;0;0;2,808;1.001520;11.891026;7.046444;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
14;0.01401585551121126;52;52;0.284179;84,221;84,221;0;0;2,808;1.001520;11.891026;7.332958;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
15;0.01500316025026069;51;51;0.398419;84,221;84,221;0;0;2,808;1.001520;11.891026;7.733512;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
16;0.01600982390576207;52;52;0.289624;84,221;84,221;0;0;2,808;1.001520;11.891026;8.025717;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
17;0.01701648756126345;52;52;0.378658;84,221;84,221;0;0;2,808;1.001520;11.891026;8.406584;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
18;0.01800379230031288;51;51;0.359575;84,221;84,221;0;0;2,808;1.001520;11.891026;8.768256;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
19;0.01901045595581426;52;52;0.384163;84,221;84,221;0;0;2,808;1.001520;11.891026;9.154703;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
20;0.02001711961131564;52;52;0.456222;84,221;84,221;0;0;2,808;1.001520;11.891026;9.613110;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
21;0.02100442435036507;51;51;0.379518;84,221;84,221;0;0;2,808;1.001520;11.891026;9.995226;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
22;0.02201108800586645;52;52;0.297599;84,221;84,221;0;0;2,808;1.001520;11.891026;10.295004;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
23;0.02301775166136783;52;52;0.296290;84,221;84,221;0;0;2,808;1.001520;11.891026;10.594187;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
24;0.02400505640041727;51;51;0.439244;84,221;84,221;0;0;2,808;1.001520;11.891026;11.035607;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
25;0.02501172005591865;52;52;0.229182;84,221;84,221;0;0;2,808;1.001520;11.891026;11.267308;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
26;0.02601838371142003;52;52;0.399490;84,221;84,221;0;0;2,808;1.001520;11.891026;11.668874;24,161;60,060;84,221;0;0;0;1.935891645194918e-05;1.935891645194918e-05;7.283678;14.418659;0.509529;84,349;33,390
