Pos.x [m];Pos.y [m];Pos.z [m];PartOut;Motive;Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];
  7.6238549E-01;  2.2833739E-01; -2.1002455E-02;96;1;403137; -2.1697847E-02;  5.0798017E-01; -1.1243798E-01;  9.9949200E+02;
  4.7635368E-01;  7.0003963E-01; -2.1000342E-02;97;1;372239;  3.6479944E-01; -4.0458950E-01; -9.0229496E-02;  9.9982281E+02;
  7.6358300E-01;  2.2818141E-01; -2.1006534E-02;97;1;408482; -6.0588908E-01;  2.5206813E-01; -1.8765716E-01;  9.9920569E+02;
  7.6295620E-01;  2.2855194E-01; -2.1004196E-02;97;1;413828; -5.6894052E-01;  8.8814974E-02; -1.6579911E-01;  9.9930481E+02;
  7.8592891E-01;  7.6196110E-01; -2.1003295E-02;97;1;447038;  4.8369187E-01; -4.1460091E-01; -1.4027168E-01;  9.9944757E+02;
  4.7879225E-01;  6.9641697E-01; -2.1001527E-02;98;1;388389;  2.2040020E-01; -4.0154362E-01; -6.5598793E-02;  9.9978839E+02;
  7.8820157E-01;  7.5954759E-01; -2.1001054E-02;98;1;436347;  6.8943806E-02;  1.4935949E-01; -3.9374940E-02;  9.9991241E+02;
  7.8663957E-01;  7.6234376E-01; -2.1001449E-02;98;1;430944;  2.4428535E-02; -3.3129334E-01; -8.4504835E-02;  9.9902441E+02;
  4.9242562E-01;  6.9499630E-01; -2.1001544E-02;98;1;393571; -9.1906741E-02; -3.6010811E-01; -8.3221793E-02;  9.9991791E+02;
  4.7794348E-01;  6.9718748E-01; -2.1000737E-02;98;1;388498;  1.7954600E-01; -3.8546005E-01; -3.6981624E-02;  9.9987109E+02;
  7.4961770E-01;  7.7795124E-01; -2.1001389E-02;99;1;409614;  2.2154149E-01; -1.4385523E-01; -4.9644124E-02;  9.9960199E+02;
  4.8198998E-01;  6.8886203E-01; -2.1001251E-02;99;1;420470;  1.2406462E-01; -2.2298689E-01; -4.8224043E-02;  9.9975604E+02;
  7.4937999E-01;  7.7723259E-01; -2.1002181E-02;99;1;414963;  2.9863730E-01; -2.8577876E-01; -7.7147737E-02;  9.9952570E+02;
  7.4525553E-01;  7.7721798E-01; -2.1001469E-02;99;1;415008;  7.4747086E-02; -4.8552358E-01; -1.0210346E-01;  9.9951483E+02;
  7.4767786E-01;  7.7763730E-01; -2.1001045E-02;99;1;420250;  6.1142497E-02; -1.0966975E-01; -6.6041350E-02;  9.9956207E+02;
  7.9835242E-01;  2.3847105E-01; -2.1001028E-02;100;1;429862;  2.2676091E-01;  2.4407691E-01; -1.4898579E-01;  9.9957141E+02;
  4.8089537E-01;  6.9230109E-01; -2.1002227E-02;100;1;388333;  6.8365209E-02; -3.4020358E-01; -7.8244187E-02;  9.9977179E+02;
  8.0076855E-01;  2.3909573E-01; -2.1000532E-02;100;1;429815;  1.7469287E-01;  1.9318767E-01; -9.2683993E-02;  9.9975537E+02;
  7.9890239E-01;  2.3637424E-01; -2.1002630E-02;100;1;413883;  2.9976800E-01;  2.4093673E-01; -1.4245036E-01;  9.9966766E+02;
  8.0087847E-01;  2.4232297E-01; -2.1001004E-02;100;1;424577; -8.6354178E-01;  3.0973548E-01; -2.2506738E-01;  9.9986035E+02;
  7.9538071E-01;  2.4747789E-01; -2.1000559E-02;101;1;429869; -1.2498429E-01;  3.7522629E-02; -5.7890959E-02;  9.9966949E+02;
  1.2854871E-01;  5.5546945E-01; -2.1001197E-02;101;1;378561;  6.9590485E-01; -2.9508421E-01; -1.1817155E-01;  9.9991986E+02;
  7.4787307E-01;  7.7537769E-01; -2.1000119E-02;101;1;388123;  2.3554249E-01; -3.5217735E-01; -1.9317683E-02;  9.9932092E+02;
  7.9373932E-01;  2.4388556E-01; -2.1001255E-02;101;1;403287; -8.4473801E-01;  6.9867492E-01; -1.4077581E-01;  9.9954260E+02;
  7.9312384E-01;  2.4772260E-01; -2.1000324E-02;101;1;440615; -2.0890279E-02;  2.4844448E-01; -3.7587091E-02;  9.9843799E+02;
  4.3692756E-02;  6.7863303E-01; -2.1001318E-02;101;1;378720;  6.3466374E-03; -2.2526871E-01; -9.1512278E-02;  9.9912518E+02;
  1.2691009E-01;  5.5815291E-01; -2.1000402E-02;102;1;383752;  6.2715244E-01; -1.3692974E-01; -9.4168536E-02;  1.0000615E+03;
  1.3211478E-01;  5.4605144E-01; -2.1001423E-02;102;1;380996;  6.1867279E-01;  2.1740068E-01; -1.3313082E-01;  9.9989178E+02;
  7.9259044E-01;  2.4535798E-01; -2.1000639E-02;102;1;435216; -1.1584657E-01; -2.5598159E-01; -7.8527585E-02;  1.0013315E+03;
  1.4028350E-01;  5.5810505E-01; -2.1005405E-02;102;1;372420; -5.6574261E-01;  4.3620732E-01; -2.1037962E-01;  9.9831458E+02;
  4.9862015E-01;  6.8621993E-01; -2.1000184E-02;102;1;388330; -2.2158330E-02; -1.8026413E-02; -3.1523764E-02;  9.9983557E+02;
  7.6992536E-01;  2.2964343E-01; -2.1000016E-02;102;1;419116;  1.8414989E-01;  1.5144521E-01; -1.6911160E-02;  9.9962183E+02;
  1.3846812E-01;  5.5752093E-01; -2.1003570E-02;102;1;389204;  6.7319489E-01; -2.3195931E-01; -1.1811794E-01;  1.0006813E+03;
  4.2327292E-02;  6.7565203E-01; -2.1005990E-02;102;1;378201; -1.7822306E-01;  1.7348683E-01; -1.8245272E-01;  9.9893066E+02;
  3.8341146E-02;  6.7972112E-01; -2.1001104E-02;102;1;383554; -4.1090852E-01; -3.2456702E-01; -9.4150282E-02;  9.9893341E+02;
  3.7264001E-01;  3.6041221E-01; -2.1002682E-02;102;1;370640;  2.0748934E-01;  3.2938081E-01; -1.4999881E-01;  9.9964734E+02;
  4.0583204E-02;  6.8556356E-01; -2.1001481E-02;102;1;383955;  4.7542145E-03; -3.2184917E-01; -1.0050528E-01;  9.9856683E+02;
  1.3591966E-01;  5.5536026E-01; -2.1001102E-02;102;1;383757;  5.4014790E-01; -2.8134370E-01; -5.2330397E-02;  1.0003722E+03;
  3.5887381E-01;  3.5403752E-01; -2.1005761E-02;103;1;370543;  6.1395645E-01;  3.9091364E-01; -1.8021777E-01;  9.9939331E+02;
  7.7336299E-01;  2.3134531E-01; -2.1000678E-02;103;1;435107;  2.2175816E-01; -4.1718438E-02; -2.6759736E-02;  9.9962512E+02;
  4.0964499E-02;  6.7539346E-01; -2.1002343E-02;103;1;389359; -7.3616904E-01;  2.3424758E-01; -1.4482331E-01;  9.9865930E+02;
  3.8114479E-01;  3.6500338E-01; -2.1000007E-02;103;1;376085;  3.4386227E-01;  7.5516611E-02; -7.3841281E-02;  9.9956769E+02;
  3.7372977E-01;  3.6589190E-01; -2.1001793E-02;103;1;375985;  1.3066046E-01;  3.9580267E-02; -1.3221967E-01;  9.9992371E+02;
  3.8108525E-01;  3.6728612E-01; -2.1001814E-02;103;1;370639;  1.7096657E-01; -7.7458434E-02; -1.0726235E-01;  1.0000302E+03;
  3.6952221E-01;  3.5965890E-01; -2.1000220E-02;104;1;381528; -6.4757094E-02;  7.7947634E-01; -1.2955357E-01;  1.0000292E+03;
  4.9755171E-02;  6.7457956E-01; -2.1002214E-02;104;1;400008; -3.3785228E-02; -8.5698217E-02; -1.0492253E-01;  9.9930493E+02;
  3.5901117E-01;  3.6464444E-01; -2.1000201E-02;104;1;376347;  6.2480450E-02;  6.6457516E-01; -4.7818244E-02;  9.9948206E+02;
  3.7764868E-01;  3.6779490E-01; -2.1000480E-02;105;1;376086;  7.0628770E-02; -1.3785881E-01; -6.2432777E-02;  1.0001006E+03;
  4.3185256E-02;  6.7554724E-01; -2.1001754E-02;105;1;399907;  2.2288057E-01; -4.1329151E-01; -1.0535818E-01;  9.9884631E+02;
  3.6300439E-01;  3.6584419E-01; -2.1002343E-02;105;1;392003;  5.0101146E-02;  7.8050607E-01; -6.8726979E-02;  9.9962354E+02;
