Part;TimeStep [s];Nout;Nout_Pos;Nout_Rhop;Nout_Vel;Nout_Unknown
0;0.000000;0;0;0;0;0
1;0.000000;0;0;0;0;0
2;0.000000;0;0;0;0;0
3;0.000000;0;0;0;0;0
4;0.000000;0;0;0;0;0
5;0.000000;0;0;0;0;0
6;0.000000;0;0;0;0;0
7;0.000000;0;0;0;0;0
8;0.000000;0;0;0;0;0
9;0.000000;0;0;0;0;0
10;0.000000;0;0;0;0;0
11;0.000000;0;0;0;0;0
12;0.000000;0;0;0;0;0
13;0.000000;0;0;0;0;0
14;0.000000;0;0;0;0;0
15;0.000000;0;0;0;0;0
16;0.000000;0;0;0;0;0
17;0.000000;0;0;0;0;0
18;0.000000;0;0;0;0;0
19;0.000000;0;0;0;0;0
20;0.000000;0;0;0;0;0
21;0.000000;0;0;0;0;0
22;0.000000;0;0;0;0;0
23;0.000000;0;0;0;0;0
24;0.000000;0;0;0;0;0
25;0.000000;0;0;0;0;0
26;0.000000;0;0;0;0;0
27;0.000000;0;0;0;0;0
28;0.000000;0;0;0;0;0
29;0.000000;0;0;0;0;0
30;0.000000;0;0;0;0;0
31;0.000000;0;0;0;0;0
32;0.000000;0;0;0;0;0
33;0.000000;0;0;0;0;0
34;0.000000;0;0;0;0;0
35;0.000000;0;0;0;0;0
36;0.000000;0;0;0;0;0
37;0.000000;0;0;0;0;0
38;0.000000;0;0;0;0;0
39;0.000000;0;0;0;0;0
40;0.000000;0;0;0;0;0
41;0.000000;0;0;0;0;0
42;0.000000;0;0;0;0;0
43;0.000000;0;0;0;0;0
44;0.000000;0;0;0;0;0
45;0.000000;0;0;0;0;0
46;0.000000;0;0;0;0;0
47;0.000000;0;0;0;0;0
48;0.000000;0;0;0;0;0
49;0.000000;0;0;0;0;0
50;0.000000;0;0;0;0;0
51;0.000000;0;0;0;0;0
52;0.000000;0;0;0;0;0
53;0.000000;0;0;0;0;0
54;0.000000;0;0;0;0;0
55;0.000000;0;0;0;0;0
56;0.000000;0;0;0;0;0
57;0.000000;0;0;0;0;0
58;0.000000;0;0;0;0;0
59;0.000000;0;0;0;0;0
60;0.000000;0;0;0;0;0
61;0.000000;0;0;0;0;0
62;0.000000;0;0;0;0;0
63;0.000000;0;0;0;0;0
64;0.000000;0;0;0;0;0
65;0.000000;0;0;0;0;0
66;0.000000;0;0;0;0;0
67;0.000000;0;0;0;0;0
68;0.000000;0;0;0;0;0
69;0.000000;0;0;0;0;0
70;0.000000;0;0;0;0;0
71;0.000000;0;0;0;0;0
72;0.000000;0;0;0;0;0
73;0.000000;0;0;0;0;0
74;0.000000;0;0;0;0;0
75;0.000000;0;0;0;0;0
76;0.000000;0;0;0;0;0
77;0.000000;0;0;0;0;0
78;0.000000;0;0;0;0;0
79;0.000000;0;0;0;0;0
80;0.000000;0;0;0;0;0
81;0.000000;0;0;0;0;0
82;0.000000;0;0;0;0;0
83;0.000000;0;0;0;0;0
84;0.000000;0;0;0;0;0
85;0.000000;0;0;0;0;0
86;0.000000;0;0;0;0;0
87;0.000000;0;0;0;0;0
88;0.000000;0;0;0;0;0
89;0.000000;0;0;0;0;0
90;0.000000;0;0;0;0;0
91;0.000000;0;0;0;0;0
92;0.000000;0;0;0;0;0
93;0.000000;0;0;0;0;0
94;0.000000;0;0;0;0;0
95;0.000000;0;0;0;0;0
96;0.960009;1;1;0;0;0
97;0.970063;4;4;0;0;0
98;0.980053;5;5;0;0;0
99;0.990021;5;5;0;0;0
100;1.000067;5;5;0;0;0
101;1.010067;6;6;0;0;0
102;1.020068;12;12;0;0;0
103;1.030040;6;6;0;0;0
104;1.040037;3;3;0;0;0
105;1.050014;8;8;0;0;0
106;1.060055;5;5;0;0;0
107;1.070035;10;10;0;0;0
108;1.080063;5;5;0;0;0
109;1.090008;2;2;0;0;0
110;0.000000;0;0;0;0;0
111;1.110042;2;2;0;0;0
112;0.000000;0;0;0;0;0
113;1.130046;2;2;0;0;0
114;1.140019;3;3;0;0;0
115;1.150016;4;4;0;0;0
116;1.160026;10;10;0;0;0
117;1.170054;5;5;0;0;0
118;1.180038;3;3;0;0;0
119;1.190051;2;2;0;0;0
120;1.200003;8;8;0;0;0
121;1.210009;9;9;0;0;0
122;1.220031;4;4;0;0;0
123;1.230050;10;10;0;0;0
124;1.240032;4;4;0;0;0
125;1.250064;13;13;0;0;0
126;1.260052;7;7;0;0;0
127;1.270069;9;9;0;0;0
128;1.280048;6;6;0;0;0
129;1.290012;4;4;0;0;0
130;1.300055;1;1;0;0;0
131;1.310029;3;3;0;0;0
132;1.320022;9;9;0;0;0
133;1.330015;6;6;0;0;0
134;1.340037;7;7;0;0;0
135;1.350013;9;9;0;0;0
136;1.360042;8;8;0;0;0
137;1.370002;5;5;0;0;0
138;1.380053;3;3;0;0;0
139;1.390018;7;7;0;0;0
140;1.400026;5;5;0;0;0
141;1.410003;7;7;0;0;0
142;1.420001;8;8;0;0;0
143;1.430003;6;6;0;0;0
144;1.440072;4;4;0;0;0
