Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;36,752;36,752;0;0;1,350;1.003483;4.137778;0.000000;7,466;29,286;36,752;0;0;0;0;0;3.209381;5.323166;0.085274;36,880;5,586
1;0.01001388822992181;55;0;0.042090;36,752;36,752;0;0;1,350;1.003483;4.137778;0.042090;7,466;29,286;36,752;0;0;0;0.0001849588077301271;0.0001864166859374802;3.209381;5.745224;0.085274;36,880;5,586
2;0.02016923428581065;55;0;0.042014;36,752;36,752;0;0;1,350;1.003483;4.137778;0.085670;7,466;29,286;36,752;0;0;0;0.0001842143428725641;0.0001850583738196141;3.209381;5.745224;0.085274;36,880;5,586
3;0.03015471087958249;54;0;0.039535;36,752;36,752;0;0;1,350;1.003483;4.137778;0.126622;7,466;29,286;36,752;0;0;0;0.0001847361823836508;0.0001851745694880806;3.209381;5.745224;0.085274;36,880;5,586
4;0.04013282543874914;54;0;0.035660;36,752;36,752;0;0;1,350;1.003483;4.137778;0.164094;7,466;29,286;36,752;0;0;0;0.000184574016708328;0.0001849348862813718;3.209381;5.745224;0.085274;36,880;5,586
5;0.05011626643040005;54;0;0.034099;36,752;36,752;0;0;1,350;1.003483;4.137778;0.199155;7,466;29,286;36,752;0;0;0;0.0001845900870220823;0.0001850203587367157;3.209381;5.745224;0.085274;36,880;5,586
6;0.06008940327245491;54;0;0.034153;36,752;36,752;0;0;1,350;1.003483;4.137778;0.234453;7,466;29,286;36,752;0;0;0;0.0001841625820136645;0.0001849833852648719;3.209381;5.745224;0.085274;36,880;5,586
7;0.07003563145642004;54;0;0.034660;36,752;36,752;0;0;1,350;1.003483;4.137778;0.270126;7,466;29,286;36,752;0;0;0;0.0001840793775121261;0.0001844845067787784;3.209381;5.745224;0.085274;36,880;5,586
8;0.08000539547984485;54;0;0.034547;36,752;36,752;0;0;1,350;1.003483;4.137778;0.305840;7,466;29,286;36,752;0;0;0;0.0001843630249991409;0.0001848553125511579;3.209381;5.745224;0.085274;36,880;5,586
9;0.09013649266644001;55;0;0.035089;36,752;36,752;0;0;1,350;1.003483;4.137778;0.341908;7,466;29,286;36,752;0;0;0;0.0001841516902629642;0.0001843479849586088;3.209381;5.745224;0.085274;36,880;5,586
10;0.1000860940848615;54;0;0.034880;36,752;36,752;0;0;1,350;1.003483;4.137778;0.377765;7,466;29,286;36,752;0;0;0;0.0001842152856076625;0.00018430027446956;3.209381;5.745224;0.085274;36,880;5,586
