TimeStep [s],Np,Nbound,Nfixed,Nmoving,Nfloat,Nfluid
0.800017,7466,7466,7466,0,0,0

Pos.x [m],Pos.y [m],Pos.z [m],Zone,Idp,Vel.x [m/s],Vel.y [m/s],Vel.z [m/s],Rhop [kg/m^3],Mass [kg],Press [Pa],Type,Mk,
  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,0,0,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0000745E+03,  1.5625000E-02,  1.6074171E+02,0,17,
  0.0000000E+00,  0.0000000E+00,  2.5000000E-02,0,1,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0011819E+03,  1.5625000E-02,  2.5599382E+03,0,17,
  0.0000000E+00,  0.0000000E+00,  5.0000001E-02,0,2,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0017971E+03,  1.5625000E-02,  3.8995159E+03,0,17,
  0.0000000E+00,  2.5000000E-02,  0.0000000E+00,0,33,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0010419E+03,  1.5625000E-02,  2.2557371E+03,0,17,
  0.0000000E+00,  2.5000000E-02,  2.5000000E-02,0,34,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0056651E+03,  1.5625000E-02,  1.2436184E+04,0,17,
  0.0000000E+00,  2.5000000E-02,  5.0000001E-02,0,35,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0080896E+03,  1.5625000E-02,  1.7888441E+04,0,17,
  0.0000000E+00,  5.0000001E-02,  0.0000000E+00,0,66,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0014743E+03,  1.5625000E-02,  3.1959509E+03,0,17,
  0.0000000E+00,  5.0000001E-02,  2.5000000E-02,0,67,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0085660E+03,  1.5625000E-02,  1.8969156E+04,0,17,
  0.0000000E+00,  5.0000001E-02,  5.0000001E-02,0,68,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0126230E+03,  1.5625000E-02,  2.8296711E+04,0,17,
  2.5000000E-02,  0.0000000E+00,  0.0000000E+00,0,1089,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0011060E+03,  1.5625000E-02,  2.3949431E+03,0,17,
  2.5000000E-02,  0.0000000E+00,  2.5000000E-02,0,1090,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0060077E+03,  1.5625000E-02,  1.3201835E+04,0,17,
  2.5000000E-02,  0.0000000E+00,  5.0000001E-02,0,1091,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0084352E+03,  1.5625000E-02,  1.8672021E+04,0,17,
  2.5000000E-02,  2.5000000E-02,  0.0000000E+00,0,1122,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0052659E+03,  1.5625000E-02,  1.1546056E+04,0,17,
  2.5000000E-02,  5.0000001E-02,  0.0000000E+00,0,1123,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0074922E+03,  1.5625000E-02,  1.6537787E+04,0,17,
  5.0000001E-02,  0.0000000E+00,  0.0000000E+00,0,1186,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0016425E+03,  1.5625000E-02,  3.5623958E+03,0,17,
  5.0000001E-02,  0.0000000E+00,  2.5000000E-02,0,1187,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0089014E+03,  1.5625000E-02,  1.9731619E+04,0,17,
  5.0000001E-02,  0.0000000E+00,  5.0000001E-02,0,1188,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0126419E+03,  1.5625000E-02,  2.8340600E+04,0,17,
  5.0000001E-02,  2.5000000E-02,  0.0000000E+00,0,1219,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0076234E+03,  1.5625000E-02,  1.6833811E+04,0,17,
  5.0000001E-02,  5.0000001E-02,  0.0000000E+00,0,1220,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0104813E+03,  1.5625000E-02,  2.3344635E+04,0,17,
  7.5000003E-02,  0.0000000E+00,  0.0000000E+00,0,1283,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0008152E+03,  1.5625000E-02,  1.7637742E+03,0,17,
  7.5000003E-02,  0.0000000E+00,  2.5000000E-02,0,1284,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0081471E+03,  1.5625000E-02,  1.8018695E+04,0,17,
  7.5000003E-02,  0.0000000E+00,  5.0000001E-02,0,1285,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0121889E+03,  1.5625000E-02,  2.7287801E+04,0,17,
  7.5000003E-02,  2.5000000E-02,  0.0000000E+00,0,1316,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0075722E+03,  1.5625000E-02,  1.6718295E+04,0,17,
  7.5000003E-02,  5.0000001E-02,  0.0000000E+00,0,1317,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0106696E+03,  1.5625000E-02,  2.3777488E+04,0,17,
  1.0000000E-01,  0.0000000E+00,  0.0000000E+00,0,1380,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0007136E+03,  1.5625000E-02,  1.5434424E+03,0,17,
  1.0000000E-01,  0.0000000E+00,  2.5000000E-02,0,1381,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0086508E+03,  1.5625000E-02,  1.9161779E+04,0,17,
  1.0000000E-01,  0.0000000E+00,  5.0000001E-02,0,1382,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0140079E+03,  1.5625000E-02,  3.1532320E+04,0,17,
  1.0000000E-01,  2.5000000E-02,  0.0000000E+00,0,1413,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0090265E+03,  1.5625000E-02,  2.0016512E+04,0,17,
  1.0000000E-01,  5.0000001E-02,  0.0000000E+00,0,1414,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0150418E+03,  1.5625000E-02,  3.3965430E+04,0,17,
  1.2500000E-01,  0.0000000E+00,  0.0000000E+00,0,1477,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0008917E+03,  1.5625000E-02,  1.9296740E+03,0,17,
  1.2500000E-01,  0.0000000E+00,  2.5000000E-02,0,1478,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0082997E+03,  1.5625000E-02,  1.8364734E+04,0,17,
  1.2500000E-01,  0.0000000E+00,  5.0000001E-02,0,1479,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0157988E+03,  1.5625000E-02,  3.5756344E+04,0,17,
  1.2500000E-01,  2.5000000E-02,  0.0000000E+00,0,1510,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0083689E+03,  1.5625000E-02,  1.8521602E+04,0,17,
  1.2500000E-01,  5.0000001E-02,  0.0000000E+00,0,1511,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0151837E+03,  1.5625000E-02,  3.4300535E+04,0,17,
  1.5000001E-01,  0.0000000E+00,  0.0000000E+00,0,1574,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0012021E+03,  1.5625000E-02,  2.6038523E+03,0,17,
  1.5000001E-01,  0.0000000E+00,  2.5000000E-02,0,1575,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0082150E+03,  1.5625000E-02,  1.8172514E+04,0,17,
  1.5000001E-01,  0.0000000E+00,  5.0000001E-02,0,1576,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0149581E+03,  1.5625000E-02,  3.3767961E+04,0,17,
  1.5000001E-01,  2.5000000E-02,  0.0000000E+00,0,1607,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0083492E+03,  1.5625000E-02,  1.8477014E+04,0,17,
  1.5000001E-01,  5.0000001E-02,  0.0000000E+00,0,1608,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0149694E+03,  1.5625000E-02,  3.3794602E+04,0,17,
  1.7500000E-01,  0.0000000E+00,  0.0000000E+00,0,1671,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0012036E+03,  1.5625000E-02,  2.6069041E+03,0,17,
  1.7500000E-01,  0.0000000E+00,  2.5000000E-02,0,1672,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0087367E+03,  1.5625000E-02,  1.9356998E+04,0,17,
  1.7500000E-01,  0.0000000E+00,  5.0000001E-02,0,1673,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0139325E+03,  1.5625000E-02,  3.1355518E+04,0,17,
  1.7500000E-01,  2.5000000E-02,  0.0000000E+00,0,1704,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0095302E+03,  1.5625000E-02,  2.1165590E+04,0,17,
  1.7500000E-01,  5.0000001E-02,  0.0000000E+00,0,1705,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0159696E+03,  1.5625000E-02,  3.6161465E+04,0,17,
  2.0000000E-01,  0.0000000E+00,  0.0000000E+00,0,1768,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0012991E+03,  1.5625000E-02,  2.8147407E+03,0,17,
  2.0000000E-01,  0.0000000E+00,  2.5000000E-02,0,1769,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0093394E+03,  1.5625000E-02,  2.0729947E+04,0,17,
  2.0000000E-01,  0.0000000E+00,  5.0000001E-02,0,1770,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0143835E+03,  1.5625000E-02,  3.2414506E+04,0,17,
  2.0000000E-01,  2.5000000E-02,  0.0000000E+00,0,1801,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0098016E+03,  1.5625000E-02,  2.1786180E+04,0,17,
  2.0000000E-01,  5.0000001E-02,  0.0000000E+00,0,1802,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0147095E+03,  1.5625000E-02,  3.3181738E+04,0,17,
  2.2499999E-01,  0.0000000E+00,  0.0000000E+00,0,1865,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0018015E+03,  1.5625000E-02,  3.9089697E+03,0,17,
  2.2499999E-01,  0.0000000E+00,  2.5000000E-02,0,1866,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0098805E+03,  1.5625000E-02,  2.1966670E+04,0,17,
  2.2499999E-01,  0.0000000E+00,  5.0000001E-02,0,1867,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0150875E+03,  1.5625000E-02,  3.4073355E+04,0,17,
  2.2499999E-01,  2.5000000E-02,  0.0000000E+00,0,1898,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0102776E+03,  1.5625000E-02,  2.2876971E+04,0,17,
  2.2499999E-01,  5.0000001E-02,  0.0000000E+00,0,1899,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0138666E+03,  1.5625000E-02,  3.1201113E+04,0,17,
  2.5000000E-01,  0.0000000E+00,  0.0000000E+00,0,1962,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0019952E+03,  1.5625000E-02,  4.3318530E+03,0,17,
  2.5000000E-01,  0.0000000E+00,  2.5000000E-02,0,1963,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0104779E+03,  1.5625000E-02,  2.3336783E+04,0,17,
  2.5000000E-01,  0.0000000E+00,  5.0000001E-02,0,1964,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0146816E+03,  1.5625000E-02,  3.3116031E+04,0,17,
  2.5000000E-01,  2.5000000E-02,  0.0000000E+00,0,1995,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0118373E+03,  1.5625000E-02,  2.6472559E+04,0,17,
  2.5000000E-01,  5.0000001E-02,  0.0000000E+00,0,1996,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0148095E+03,  1.5625000E-02,  3.3417477E+04,0,17,
  2.7500001E-01,  0.0000000E+00,  0.0000000E+00,0,2059,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0019782E+03,  1.5625000E-02,  4.2947944E+03,0,17,
  2.7500001E-01,  0.0000000E+00,  2.5000000E-02,0,2060,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0104423E+03,  1.5625000E-02,  2.3255039E+04,0,17,
  2.7500001E-01,  0.0000000E+00,  5.0000001E-02,0,2061,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0144991E+03,  1.5625000E-02,  3.2686553E+04,0,17,
  2.7500001E-01,  2.5000000E-02,  0.0000000E+00,0,2092,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0121005E+03,  1.5625000E-02,  2.7082592E+04,0,17,
  2.7500001E-01,  5.0000001E-02,  0.0000000E+00,0,2093,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0142753E+03,  1.5625000E-02,  3.2160287E+04,0,17,
  3.0000001E-01,  0.0000000E+00,  0.0000000E+00,0,2156,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0019816E+03,  1.5625000E-02,  4.3022593E+03,0,17,
  3.0000001E-01,  0.0000000E+00,  2.5000000E-02,0,2157,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0110628E+03,  1.5625000E-02,  2.4682916E+04,0,17,
  3.0000001E-01,  0.0000000E+00,  5.0000001E-02,0,2158,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0139662E+03,  1.5625000E-02,  3.1434676E+04,0,17,
  3.0000001E-01,  2.5000000E-02,  0.0000000E+00,0,2189,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0118782E+03,  1.5625000E-02,  2.6567424E+04,0,17,
  3.0000001E-01,  5.0000001E-02,  0.0000000E+00,0,2190,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  1.0143823E+03,  1.5625000E-02,  3.2411779E+04,0,17,
