TimeStep [s],Np,Nbound,Nfixed,Nmoving,Nfloat,Nfluid
0.800017,29286,0,0,0,0,29286

Pos.x [m],Pos.y [m],Pos.z [m],Zone,Idp,Vel.x [m/s],Vel.y [m/s],Vel.z [m/s],Rhop [kg/m^3],Mass [kg],Press [Pa],Type,Mk,
  4.3970682E-02,  4.3201566E-02,  4.4666491E-02,0,7466,  2.3980355E-01,  1.1407602E-01, -1.0899243E-01,  1.0142454E+03,  1.5625000E-02,  3.2090018E+04,3,1,
  6.9058023E-02,  4.8442543E-02,  4.9501147E-02,0,10801, -1.0516510E-01,  1.4071113E-01, -1.1368830E-02,  1.0048897E+03,  1.5625000E-02,  1.0709041E+04,3,1,
  1.0253590E-01,  4.8745360E-02,  5.1518902E-02,0,10203, -2.7943071E-02, -8.6487852E-02,  7.7529602E-02,  1.0030416E+03,  1.5625000E-02,  6.6246411E+03,3,1,
  1.2368631E-01,  4.9136713E-02,  4.6357471E-02,0,10870, -1.4581583E-01, -9.9397618E-03,  2.4826795E-02,  1.0031207E+03,  1.5625000E-02,  6.7984048E+03,3,1,
  9.2335552E-02,  5.1579665E-02,  5.0039463E-02,0,10157, -1.7071643E-01,  1.4305030E-01, -2.6175706E-02,  1.0031985E+03,  1.5625000E-02,  6.9696987E+03,3,1,
  9.3685985E-02,  5.1589925E-02,  4.9185071E-02,0,9490,  3.1698246E-02, -1.3537984E-01,  9.2190541E-02,  1.0032630E+03,  1.5625000E-02,  7.1115200E+03,3,1,
  1.5073763E-01,  4.5733642E-02,  4.5379542E-02,0,10135, -2.0592537E-02,  3.1725880E-02,  1.9100994E-03,  1.0035986E+03,  1.5625000E-02,  7.8509209E+03,3,1,
  1.8107273E-01,  4.8856627E-02,  4.5288898E-02,0,10824,  1.2444917E-01, -7.2024656E-03, -2.6621675E-02,  1.0038373E+03,  1.5625000E-02,  8.3775674E+03,3,1,
  2.0116132E-01,  4.9160160E-02,  5.3098306E-02,0,11514, -7.9670168E-02, -8.5158497E-02,  1.4311949E-02,  1.0033099E+03,  1.5625000E-02,  7.2148311E+03,3,1,
  1.9103400E-01,  5.0409641E-02,  4.8802976E-02,0,10847, -1.0260300E-01,  6.1786819E-02, -1.2507346E-01,  1.0034528E+03,  1.5625000E-02,  7.5295112E+03,3,1,
  2.2863305E-01,  4.3893650E-02,  4.3201059E-02,0,11468,  3.9563304E-01,  1.3949230E-01, -3.9384827E-02,  1.0075458E+03,  1.5625000E-02,  1.6658760E+04,3,1,
  2.5972909E-01,  4.9355771E-02,  4.3053336E-02,0,12135,  2.1423015E-01,  7.2803058E-02, -7.2700165E-02,  1.0073173E+03,  1.5625000E-02,  1.6143036E+04,3,1,
  2.7633220E-01,  4.7437299E-02,  4.5374107E-02,0,12802,  2.2386387E-01, -8.0486611E-02,  1.1486302E-01,  1.0071771E+03,  1.5625000E-02,  1.5827201E+04,3,1,
  2.9756016E-01,  4.5032308E-02,  4.6921130E-02,0,13469,  2.7088737E-01,  9.6459594E-03,  4.6027634E-02,  1.0072550E+03,  1.5625000E-02,  1.6002693E+04,3,1,
  3.2317969E-01,  4.4717763E-02,  4.4590380E-02,0,14136,  7.9370111E-02, -3.5977822E-03,  3.5921592E-02,  1.0071812E+03,  1.5625000E-02,  1.5836413E+04,3,1,
  3.4985322E-01,  4.6759389E-02,  4.1767426E-02,0,14803,  7.4952826E-02, -1.1806252E-01,  1.1818048E-01,  1.0077182E+03,  1.5625000E-02,  1.7048117E+04,3,1,
  3.7825558E-01,  4.8097778E-02,  4.1235775E-02,0,15470,  1.0531642E-01, -7.7782772E-02,  3.3637151E-02,  1.0078527E+03,  1.5625000E-02,  1.7352270E+04,3,1,
  4.0315577E-01,  4.4460446E-02,  4.5938630E-02,0,16137,  8.7707967E-02, -3.2753333E-02,  4.5795552E-02,  1.0075048E+03,  1.5625000E-02,  1.6566029E+04,3,1,
  4.2515090E-01,  4.7981575E-02,  4.4661403E-02,0,16804,  1.6010921E-01,  9.2693046E-02, -3.4200635E-02,  1.0074803E+03,  1.5625000E-02,  1.6510924E+04,3,1,
