time [s];force [N];forcex [N];forcey [N];forcez [N]
0.000000;14.1044;2.98023e-06;-9.53674e-07;-14.1044
0.005014;84.7731;5.66244e-05;0.000199229;-84.7731
0.010014;8.5189;9.82285e-05;0.000503302;8.5189
0.015182;32.0504;0.00025034;-1.54972e-05;32.0504
0.020169;189.855;0.000882626;0.000344515;-189.855
0.025164;215.534;-0.000610948;0.000252128;215.534
0.030155;51.3251;0.00138521;-0.000396132;51.3251
0.035147;142.802;-0.000116229;-0.000700951;142.802
0.040133;93.6444;-7.06315e-05;0.000605226;93.6444
0.045121;239.691;0.000195324;0.000682592;239.691
0.050116;181.517;0.00125778;-0.00155473;181.517
0.055109;95.8709;-0.00021857;0.000118732;95.8709
0.060089;289.026;-0.000183582;-0.000919342;289.026
0.065060;244.551;0.00185204;-0.000180721;244.551
0.070036;255.434;-0.000321865;-0.000149012;255.434
0.075023;281.681;0.000724077;0.00303459;281.681
0.080005;239.932;-0.00169587;-0.00105619;239.932
0.085164;255.801;0.000886619;-0.000727177;255.801
0.090136;122.6;-0.00148755;0.00184417;122.6
0.095112;196.38;0.0013333;-0.0015378;196.38
0.100086;167.518;-1.54972e-06;0.00257444;167.518
0.105061;52.0155;-0.000522614;-0.000378609;52.0155
0.110038;116.593;-0.00126547;0.000384688;116.593
0.115015;29.4192;0.00435299;-0.00170028;29.4192
0.120177;1.45368;0.000918567;-0.00132048;1.45368
0.125156;11.2169;-0.00382856;0.00140738;-11.2169
0.130136;22.4925;-0.00304763;0.000576258;-22.4925
0.135117;18.5119;0.00198683;-0.000823632;-18.5119
0.140090;41.1377;0.0030849;0.000725389;-41.1377
0.145053;10.0991;-0.00280599;0.000454932;-10.0991
0.150003;8.44778;0.00282969;-0.000626445;8.44778
0.155116;20.7314;0.000557721;-0.00145286;20.7314
0.160074;48.7896;9.66191e-05;0.00183326;48.7896
0.165049;57.7472;-0.00152147;-0.00409633;57.7472
0.170179;105.073;-0.00673246;0.00915718;105.073
0.175082;101.843;0.0013552;-0.00566506;101.843
0.180101;117.448;0.000564337;0.000481963;117.448
0.185114;179.858;0.00690138;0.00693631;179.858
