Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;36,752;36,752;0;0;1,350;1.003483;4.137778;0.000000;7,466;29,286;36,752;0;0;0;0;0;3.209381;5.323166;0.085274;36,880;5,586
1;0.01001388822992181;55;0;0.035504;36,752;36,752;0;0;1,350;1.003483;4.137778;0.035504;7,466;29,286;36,752;0;0;0;0.0001849588077301271;0.0001864166859374802;3.209381;5.745224;0.085274;36,880;5,586
2;0.02016923428581065;55;0;0.034129;36,752;36,752;0;0;1,350;1.003483;4.137778;0.070728;7,466;29,286;36,752;0;0;0;0.0001842143428725641;0.0001850583738196141;3.209381;5.745224;0.085274;36,880;5,586
3;0.03015471087958249;54;0;0.033989;36,752;36,752;0;0;1,350;1.003483;4.137778;0.105726;7,466;29,286;36,752;0;0;0;0.0001847361823836508;0.0001851745694880806;3.209381;5.745224;0.085274;36,880;5,586
4;0.04013282543874914;54;0;0.034063;36,752;36,752;0;0;1,350;1.003483;4.137778;0.140780;7,466;29,286;36,752;0;0;0;0.000184574016708328;0.0001849348862813718;3.209381;5.745224;0.085274;36,880;5,586
5;0.05011626643040005;54;0;0.034831;36,752;36,752;0;0;1,350;1.003483;4.137778;0.176625;7,466;29,286;36,752;0;0;0;0.0001845900870220823;0.0001850203587367157;3.209381;5.745224;0.085274;36,880;5,586
6;0.06008940327245491;54;0;0.035012;36,752;36,752;0;0;1,350;1.003483;4.137778;0.212818;7,466;29,286;36,752;0;0;0;0.0001841625820136645;0.0001849833852648719;3.209381;5.745224;0.085274;36,880;5,586
7;0.07003563145642004;54;0;0.033248;36,752;36,752;0;0;1,350;1.003483;4.137778;0.247302;7,466;29,286;36,752;0;0;0;0.0001840793775121261;0.0001844845067787784;3.209381;5.745224;0.085274;36,880;5,586
8;0.08000539547984485;54;0;0.033649;36,752;36,752;0;0;1,350;1.003483;4.137778;0.282048;7,466;29,286;36,752;0;0;0;0.0001843630249991409;0.0001848553125511579;3.209381;5.745224;0.085274;36,880;5,586
9;0.09013649266644001;55;0;0.032901;36,752;36,752;0;0;1,350;1.003483;4.137778;0.315913;7,466;29,286;36,752;0;0;0;0.0001841516902629642;0.0001843479849586088;3.209381;5.745224;0.085274;36,880;5,586
10;0.1000860940848615;54;0;0.032360;36,752;36,752;0;0;1,350;1.003483;4.137778;0.349304;7,466;29,286;36,752;0;0;0;0.0001842152856076625;0.00018430027446956;3.209381;5.745224;0.085274;36,880;5,586
11;0.1100380168050825;54;0;0.032407;36,752;36,752;0;0;1,350;1.003483;4.137778;0.382788;7,466;29,286;36,752;0;0;0;0.0001842180794029963;0.0001843718413630171;3.209381;5.745224;0.085274;36,880;5,586
12;0.1201769501421131;55;0;0.033318;36,752;36,752;0;0;1,350;1.003483;4.137778;0.417030;7,466;29,286;36,752;0;0;0;0.0001843170087888934;0.0001843736216271998;3.209381;5.745224;0.085274;36,880;5,586
13;0.1301357780614088;54;0;0.032370;36,752;36,752;0;0;1,350;1.003483;4.137778;0.450301;7,466;29,286;36,752;0;0;0;0.0001843747822294822;0.0001845114249258205;3.209381;5.745224;0.085274;36,880;5,586
14;0.1400898611165931;54;0;0.031714;36,752;36,752;0;0;1,350;1.003483;4.137778;0.482915;7,466;29,286;36,752;0;0;0;0.0001838282916318064;0.0001845197302810363;3.209381;5.745224;0.085274;36,880;5,586
15;0.1500025244745619;54;0;0.031673;36,752;36,752;0;0;1,350;1.003483;4.137778;0.515570;7,466;29,286;36,752;0;0;0;0.0001825435002555095;0.0001839859069612433;3.209381;5.745224;0.085274;36,880;5,586
