Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;36,752;36,752;0;0;1,350;1.003483;4.137778;0.000000;7,466;29,286;36,752;0;0;0;0;0;3.209381;5.323166;0.085274;36,880;5,586
1;0.0103923048111208;25;0;0.015684;36,752;36,752;0;0;1,350;1.003483;4.137778;0.015685;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
2;0.02035159692177824;23;0;0.014525;36,752;36,752;0;0;1,350;1.003483;4.137778;0.031164;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
3;0.0303108890324357;23;0;0.014666;36,752;36,752;0;0;1,350;1.003483;4.137778;0.046689;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
4;0.04027018114309309;23;0;0.014823;36,752;36,752;0;0;1,350;1.003483;4.137778;0.062493;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
5;0.05022947325375047;23;0;0.014951;36,752;36,752;0;0;1,350;1.003483;4.137778;0.078351;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
6;0.06018876536440785;23;0;0.015009;36,752;36,752;0;0;1,350;1.003483;4.137778;0.094247;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
7;0.07014805747506524;23;0;0.015089;36,752;36,752;0;0;1,350;1.003483;4.137778;0.110299;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
8;0.08010734958572262;23;0;0.015251;36,752;36,752;0;0;1,350;1.003483;4.137778;0.126481;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
9;0.09006664169638;23;0;0.014592;36,752;36,752;0;0;1,350;1.003483;4.137778;0.142060;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
10;0.1000259338070374;23;0;0.014570;36,752;36,752;0;0;1,350;1.003483;4.137778;0.157721;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
11;0.1104182386181581;24;0;0.014877;36,752;36,752;0;0;1,350;1.003483;4.137778;0.173738;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
12;0.1203775307288155;23;0;0.014060;36,752;36,752;0;0;1,350;1.003483;4.137778;0.188679;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
13;0.1303368228394729;23;0;0.013899;36,752;36,752;0;0;1,350;1.003483;4.137778;0.203477;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
14;0.1402961149501303;23;0;0.013832;36,752;36,752;0;0;1,350;1.003483;4.137778;0.218155;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
15;0.1502554070607877;23;0;0.013742;36,752;36,752;0;0;1,350;1.003483;4.137778;0.232728;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
16;0.160214699171445;23;0;0.013652;36,752;36,752;0;0;1,350;1.003483;4.137778;0.247205;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
17;0.1701739912821024;23;0;0.013587;36,752;36,752;0;0;1,350;1.003483;4.137778;0.261681;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
18;0.1801332833927598;23;0;0.013552;36,752;36,752;0;0;1,350;1.003483;4.137778;0.276084;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
19;0.1900925755034172;23;0;0.013557;36,752;36,752;0;0;1,350;1.003483;4.137778;0.290440;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
20;0.2000518676140746;23;0;0.013604;36,752;36,752;0;0;1,350;1.003483;4.137778;0.305120;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
21;0.2100111597247319;23;0;0.013656;36,752;36,752;0;0;1,350;1.003483;4.137778;0.319606;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
22;0.2204034645358527;24;0;0.014248;36,752;36,752;0;0;1,350;1.003483;4.137778;0.334663;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
23;0.2303627566465101;23;0;0.013818;36,752;36,752;0;0;1,350;1.003483;4.137778;0.349361;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
24;0.2403220487571675;23;0;0.013991;36,752;36,752;0;0;1,350;1.003483;4.137778;0.364281;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
25;0.2502813408678248;23;0;0.013752;36,752;36,752;0;0;1,350;1.003483;4.137778;0.378933;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
26;0.2602406329784822;23;0;0.013538;36,752;36,752;0;0;1,350;1.003483;4.137778;0.393262;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
27;0.2701999250891396;23;0;0.013566;36,752;36,752;0;0;1,350;1.003483;4.137778;0.407603;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
28;0.280159217199797;23;0;0.013630;36,752;36,752;0;0;1,350;1.003483;4.137778;0.422037;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
29;0.2901185093104544;23;0;0.013680;36,752;36,752;0;0;1,350;1.003483;4.137778;0.436539;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
30;0.3000778014211117;23;0;0.013708;36,752;36,752;0;0;1,350;1.003483;4.137778;0.451071;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
31;0.3100370935317691;23;0;0.013716;36,752;36,752;0;0;1,350;1.003483;4.137778;0.465822;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
32;0.3204293983428899;24;0;0.014306;36,752;36,752;0;0;1,350;1.003483;4.137778;0.481011;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
33;0.3303886904535472;23;0;0.013845;36,752;36,752;0;0;1,350;1.003483;4.137778;0.495693;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
34;0.3403479825642046;23;0;0.013948;36,752;36,752;0;0;1,350;1.003483;4.137778;0.510466;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
35;0.350307274674862;23;0;0.014059;36,752;36,752;0;0;1,350;1.003483;4.137778;0.525350;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
36;0.3602665667855194;23;0;0.014254;36,752;36,752;0;0;1,350;1.003483;4.137778;0.540458;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
37;0.3702258588961768;23;0;0.014285;36,752;36,752;0;0;1,350;1.003483;4.137778;0.555688;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
38;0.3801851510068341;23;0;0.014427;36,752;36,752;0;0;1,350;1.003483;4.137778;0.571124;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
39;0.3901444431174915;23;0;0.014478;36,752;36,752;0;0;1,350;1.003483;4.137778;0.586663;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
40;0.4001037352281489;23;0;0.014976;36,752;36,752;0;0;1,350;1.003483;4.137778;0.602533;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
41;0.4100630273388063;23;0;0.014787;36,752;36,752;0;0;1,350;1.003483;4.137778;0.618463;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
42;0.4200223194494637;23;0;0.014017;36,752;36,752;0;0;1,350;1.003483;4.137778;0.633343;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
43;0.4304146242605844;24;0;0.014453;36,752;36,752;0;0;1,350;1.003483;4.137778;0.648679;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
44;0.4403739163712418;23;0;0.013802;36,752;36,752;0;0;1,350;1.003483;4.137778;0.663341;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
45;0.4503332084818992;23;0;0.013715;36,752;36,752;0;0;1,350;1.003483;4.137778;0.677995;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
46;0.4602925005925566;23;0;0.013657;36,752;36,752;0;0;1,350;1.003483;4.137778;0.692556;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
47;0.4702517927032139;23;0;0.013599;36,752;36,752;0;0;1,350;1.003483;4.137778;0.706969;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
48;0.4802110848138713;23;0;0.013543;36,752;36,752;0;0;1,350;1.003483;4.137778;0.721324;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
49;0.4901703769245287;23;0;0.013752;36,752;36,752;0;0;1,350;1.003483;4.137778;0.735886;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
50;0.5001296690351861;23;0;0.013572;36,752;36,752;0;0;1,350;1.003483;4.137778;0.750314;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
51;0.5100889611458435;23;0;0.013550;36,752;36,752;0;0;1,350;1.003483;4.137778;0.764694;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
52;0.5200482532565008;23;0;0.013581;36,752;36,752;0;0;1,350;1.003483;4.137778;0.779174;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
53;0.5300075453671582;23;0;0.013565;36,752;36,752;0;0;1,350;1.003483;4.137778;0.793559;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
54;0.540399850178279;24;0;0.014097;36,752;36,752;0;0;1,350;1.003483;4.137778;0.808462;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
55;0.5503591422889363;23;0;0.013585;36,752;36,752;0;0;1,350;1.003483;4.137778;0.822851;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
56;0.5603184343995937;23;0;0.013605;36,752;36,752;0;0;1,350;1.003483;4.137778;0.837273;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
57;0.5702777265102511;23;0;0.013624;36,752;36,752;0;0;1,350;1.003483;4.137778;0.851734;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
58;0.5802370186209085;23;0;0.013643;36,752;36,752;0;0;1,350;1.003483;4.137778;0.866209;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
59;0.5901963107315659;23;0;0.013706;36,752;36,752;0;0;1,350;1.003483;4.137778;0.880828;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
60;0.6001556028422232;23;0;0.013767;36,752;36,752;0;0;1,350;1.003483;4.137778;0.895425;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
61;0.6101148949528806;23;0;0.013796;36,752;36,752;0;0;1,350;1.003483;4.137778;0.910123;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
62;0.620074187063538;23;0;0.013757;36,752;36,752;0;0;1,350;1.003483;4.137778;0.924703;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
63;0.6300334791741954;23;0;0.013676;36,752;36,752;0;0;1,350;1.003483;4.137778;0.939273;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
64;0.6404257839853161;24;0;0.014160;36,752;36,752;0;0;1,350;1.003483;4.137778;0.954250;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
65;0.6503850760959735;23;0;0.013574;36,752;36,752;0;0;1,350;1.003483;4.137778;0.968651;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
66;0.6603443682066309;23;0;0.013573;36,752;36,752;0;0;1,350;1.003483;4.137778;0.983123;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
67;0.6703036603172883;23;0;0.013551;36,752;36,752;0;0;1,350;1.003483;4.137778;0.997500;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
68;0.6802629524279457;23;0;0.013535;36,752;36,752;0;0;1,350;1.003483;4.137778;1.011847;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
69;0.690222244538603;23;0;0.013538;36,752;36,752;0;0;1,350;1.003483;4.137778;1.026176;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
70;0.7001815366492604;23;0;0.013568;36,752;36,752;0;0;1,350;1.003483;4.137778;1.040544;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
71;0.7101408287599178;23;0;0.013565;36,752;36,752;0;0;1,350;1.003483;4.137778;1.054885;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
72;0.7201001208705752;23;0;0.013549;36,752;36,752;0;0;1,350;1.003483;4.137778;1.069217;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
73;0.7300594129812326;23;0;0.013557;36,752;36,752;0;0;1,350;1.003483;4.137778;1.083635;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
74;0.7400187050918899;23;0;0.013584;36,752;36,752;0;0;1,350;1.003483;4.137778;1.098017;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
