time [s];force [N];forcex [N];forcey [N];forcez [N]
0.000000;0;0;0;0
0.005196;0;0;0;0
0.010392;0;0;0;0
0.015155;0;0;0;0
0.020352;0;0;0;0
0.025115;0;0;0;0
0.030311;0;0;0;0
0.035074;0;0;0;0
0.040270;0;0;0;0
0.045033;0;0;0;0
0.050229;0;0;0;0
0.055426;0;0;0;0
0.060189;0;0;0;0
0.065385;0;0;0;0
0.070148;0;0;0;0
0.075344;0;0;0;0
0.080107;0;0;0;0
0.085304;0;0;0;0
0.090067;0;0;0;0
0.095263;0;0;0;0
0.100026;0;0;0;0
0.105222;0;0;0;0
0.110418;0;0;0;0
0.115181;0;0;0;0
0.120378;0;0;0;0
0.125141;0;0;0;0
0.130337;0;0;0;0
0.135100;0;0;0;0
0.140296;0;0;0;0
0.145059;0;0;0;0
0.150255;0;0;0;0
0.155019;0;0;0;0
0.160215;0;0;0;0
0.165411;0;0;0;0
0.170174;0;0;0;0
0.175370;0;0;0;0
0.180133;0;0;0;0
0.185329;0;0;0;0
0.190093;0;0;0;0
0.195289;0;0;0;0
0.200052;0;0;0;0
0.205248;0;0;0;0
0.210011;0;0;0;0
0.215207;0;0;0;0
0.220403;0;0;0;0
0.225167;0;0;0;0
0.230363;0;0;0;0
0.235126;0;0;0;0
0.240322;0;0;0;0
0.245085;0;0;0;0
0.250281;0;0;0;0
0.255044;0;0;0;0
0.260241;0;0;0;0
0.265004;0;0;0;0
0.270200;0;0;0;0
0.275396;0;0;0;0
0.280159;0;0;0;0
0.285355;0;0;0;0
0.290119;0;0;0;0
0.295315;0;0;0;0
0.300078;0;0;0;0
0.305274;0;0;0;0
0.310037;0;0;0;0
0.315233;0;0;0;0
0.320429;0;0;0;0
0.325193;0;0;0;0
0.330389;0;0;0;0
0.335152;0;0;0;0
0.340348;0;0;0;0
0.345111;0;0;0;0
0.350307;0;0;0;0
0.355070;0;0;0;0
0.360267;0;0;0;0
0.365030;0;0;0;0
0.370226;0;0;0;0
0.375422;0;0;0;0
0.380185;0;0;0;0
0.385381;0;0;0;0
0.390144;0;0;0;0
0.395341;0;0;0;0
0.400104;0;0;0;0
0.405300;0;0;0;0
0.410063;0;0;0;0
0.415259;0;0;0;0
0.420022;0;0;0;0
0.425218;0;0;0;0
0.430415;0;0;0;0
0.435178;0;0;0;0
0.440374;0;0;0;0
0.445137;0;0;0;0
0.450333;0;0;0;0
0.455096;0;0;0;0
0.460293;0;0;0;0
0.465056;0;0;0;0
0.470252;0;0;0;0
0.475015;0;0;0;0
0.480211;0;0;0;0
0.485407;0;0;0;0
0.490170;0;0;0;0
0.495367;0;0;0;0
0.500130;0;0;0;0
0.505326;0;0;0;0
0.510089;0;0;0;0
0.515285;0;0;0;0
0.520048;0;0;0;0
0.525244;0;0;0;0
0.530008;0;0;0;0
0.535204;0;0;0;0
0.540400;0;0;0;0
0.545163;0;0;0;0
0.550359;0;0;0;0
0.555122;0;0;0;0
0.560318;0;0;0;0
0.565082;0;0;0;0
0.570278;0;0;0;0
0.575041;0;0;0;0
0.580237;0;0;0;0
0.585000;0;0;0;0
0.590196;0;0;0;0
0.595392;0;0;0;0
0.600156;0;0;0;0
0.605352;0;0;0;0
0.610115;0;0;0;0
0.615311;0;0;0;0
0.620074;0;0;0;0
0.625270;0;0;0;0
0.630033;0;0;0;0
0.635230;0;0;0;0
0.640426;0;0;0;0
0.645189;0;0;0;0
0.650385;0;0;0;0
0.655148;0;0;0;0
0.660344;0;0;0;0
0.665108;0;0;0;0
0.670304;0;0;0;0
0.675067;0;0;0;0
0.680263;0;0;0;0
0.685026;0;0;0;0
0.690222;0;0;0;0
0.695418;0;0;0;0
0.700182;0;0;0;0
0.705378;0;0;0;0
0.710141;0;0;0;0
0.715337;0;0;0;0
0.720100;0;0;0;0
0.725296;0;0;0;0
0.730059;0;0;0;0
0.735256;0;0;0;0
0.740019;0;0;0;0
0.745215;0;0;0;0
0.750411;0;0;0;0
0.755174;0;0;0;0
0.760370;0;0;0;0
0.765133;0;0;0;0
0.770330;0;0;0;0
0.775093;0;0;0;0
0.780289;0;0;0;0
0.785052;0;0;0;0
0.790248;0;0;0;0
0.795011;0;0;0;0
