Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;36,752;36,752;0;0;1,350;1.003483;4.137778;0.000000;7,466;29,286;36,752;0;0;0;0;0;3.209381;5.323166;0.085274;36,880;5,586
1;0.0103923048111208;25;0;0.015250;36,752;36,752;0;0;1,350;1.003483;4.137778;0.015251;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
2;0.02035159692177824;23;0;0.014089;36,752;36,752;0;0;1,350;1.003483;4.137778;0.030342;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
3;0.0303108890324357;23;0;0.014130;36,752;36,752;0;0;1,350;1.003483;4.137778;0.045395;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
4;0.04027018114309309;23;0;0.014156;36,752;36,752;0;0;1,350;1.003483;4.137778;0.060470;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
5;0.05022947325375047;23;0;0.014135;36,752;36,752;0;0;1,350;1.003483;4.137778;0.075592;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
6;0.06018876536440785;23;0;0.014109;36,752;36,752;0;0;1,350;1.003483;4.137778;0.090608;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
7;0.07014805747506524;23;0;0.014190;36,752;36,752;0;0;1,350;1.003483;4.137778;0.105718;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
8;0.08010734958572262;23;0;0.014058;36,752;36,752;0;0;1,350;1.003483;4.137778;0.120804;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
9;0.09006664169638;23;0;0.014431;36,752;36,752;0;0;1,350;1.003483;4.137778;0.136142;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
10;0.1000259338070374;23;0;0.014025;36,752;36,752;0;0;1,350;1.003483;4.137778;0.151172;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
11;0.1104182386181581;24;0;0.014601;36,752;36,752;0;0;1,350;1.003483;4.137778;0.166679;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
12;0.1203775307288155;23;0;0.014045;36,752;36,752;0;0;1,350;1.003483;4.137778;0.181621;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
13;0.1303368228394729;23;0;0.014090;36,752;36,752;0;0;1,350;1.003483;4.137778;0.196601;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
14;0.1402961149501303;23;0;0.014051;36,752;36,752;0;0;1,350;1.003483;4.137778;0.211535;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
15;0.1502554070607877;23;0;0.014024;36,752;36,752;0;0;1,350;1.003483;4.137778;0.226565;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
16;0.160214699171445;23;0;0.014027;36,752;36,752;0;0;1,350;1.003483;4.137778;0.241490;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
17;0.1701739912821024;23;0;0.014036;36,752;36,752;0;0;1,350;1.003483;4.137778;0.256463;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
18;0.1801332833927598;23;0;0.014029;36,752;36,752;0;0;1,350;1.003483;4.137778;0.271368;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
19;0.1900925755034172;23;0;0.014052;36,752;36,752;0;0;1,350;1.003483;4.137778;0.286302;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
20;0.2000518676140746;23;0;0.014033;36,752;36,752;0;0;1,350;1.003483;4.137778;0.301237;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
21;0.2100111597247319;23;0;0.013363;36,752;36,752;0;0;1,350;1.003483;4.137778;0.315487;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
22;0.2204034645358527;24;0;0.013843;36,752;36,752;0;0;1,350;1.003483;4.137778;0.330289;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
23;0.2303627566465101;23;0;0.013320;36,752;36,752;0;0;1,350;1.003483;4.137778;0.344499;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
24;0.2403220487571675;23;0;0.013300;36,752;36,752;0;0;1,350;1.003483;4.137778;0.358834;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
25;0.2502813408678248;23;0;0.013313;36,752;36,752;0;0;1,350;1.003483;4.137778;0.373080;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
26;0.2602406329784822;23;0;0.013310;36,752;36,752;0;0;1,350;1.003483;4.137778;0.387282;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
27;0.2701999250891396;23;0;0.013314;36,752;36,752;0;0;1,350;1.003483;4.137778;0.401488;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
28;0.280159217199797;23;0;0.013307;36,752;36,752;0;0;1,350;1.003483;4.137778;0.415675;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
29;0.2901185093104544;23;0;0.013367;36,752;36,752;0;0;1,350;1.003483;4.137778;0.430003;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
