Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;51,801;51,801;0;0;1,584;1.002471;4.646465;0.000000;22,515;29,286;51,801;0;0;0;0;0;5.095327;7.883381;0.112343;51,929;7,360
1;0.0100184868397585;51;0;0.076826;51,801;51,801;0;0;1,584;1.002471;4.646465;0.076826;22,515;29,286;51,801;0;0;0;0.0001850675505392554;0.0001861673786458259;4.501047;9.864315;0.112343;51,929;7,360
2;0.02000212306774409;54;0;0.081722;51,801;51,801;0;0;1,584;1.002471;4.646465;0.159785;22,515;29,286;51,801;0;0;0;0.0001846333454319793;0.0001852342053021993;4.501047;9.864315;0.112343;51,929;7,360
3;0.03016614718512832;55;0;0.083034;51,801;51,801;0;0;1,584;1.002471;4.646465;0.244182;22,515;29,286;51,801;0;0;0;0.0001845331572216897;0.0001850816916628421;4.501047;9.864315;0.112343;51,929;7,360
4;0.04012974163807352;54;0;0.080719;51,801;51,801;0;0;1,584;1.002471;4.646465;0.326123;22,515;29,286;51,801;0;0;0;0.0001842958994040141;0.0001846100068327542;4.501047;9.864315;0.112343;51,929;7,360
5;0.05006851525088719;54;0;0.078369;51,801;51,801;0;0;1,584;1.002471;4.646465;0.405762;22,515;29,286;51,801;0;0;0;0.000183659389781958;0.0001842845933490401;4.501047;9.864315;0.112343;51,929;7,360
6;0.06010575934381736;55;0;0.083978;51,801;51,801;0;0;1,584;1.002471;4.646465;0.491174;22,515;29,286;51,801;0;0;0;0.00018119108502537;0.0001836313498526042;4.501047;9.864315;0.112343;51,929;7,360
7;0.0700512791877097;55;0;0.086281;51,801;51,801;0;0;1,728;1.002471;4.259259;0.578997;22,515;29,286;51,801;0;0;0;0.0001805360599678269;0.000181692251310187;4.501047;9.864315;0.112343;51,929;7,360
8;0.08003668952085899;55;0;0.086202;51,801;51,801;0;0;1,728;1.002471;4.259259;0.666578;22,515;29,286;51,801;0;0;0;0.0001812327673267909;0.0001821608442208282;4.501047;9.864315;0.112343;51,929;7,360
9;0.09001046668174614;55;0;0.086729;51,801;51,801;0;0;1,728;1.002471;4.259259;0.754565;22,515;29,286;51,801;0;0;0;0.000180988827056667;0.0001820884320237624;4.501047;9.864315;0.112343;51,929;7,360
10;0.100169939202248;56;0;0.088695;51,801;51,801;0;0;1,728;1.002471;4.259259;0.844438;22,515;29,286;51,801;0;0;0;0.000180474120270765;0.0001820526152655221;4.501047;9.864315;0.112343;51,929;7,360
11;0.1101461324601116;55;0;0.085291;51,801;51,801;0;0;1,728;1.002471;4.259259;0.931184;22,515;29,286;51,801;0;0;0;0.0001804211191532319;0.0001820858104295989;4.501047;9.864315;0.112343;51,929;7,360
12;0.1201530503562567;55;0;0.084674;51,801;51,801;0;0;1,728;1.002471;4.259259;1.017404;22,515;29,286;51,801;0;0;0;0.000181494892036526;0.0001824768371949676;4.501047;9.864315;0.112343;51,929;7,360
13;0.1300468952798657;55;0;0.083393;51,801;51,801;0;0;1,920;1.002471;3.833333;1.101932;22,515;29,286;51,801;0;0;0;0.0001787052286063989;0.0001815387612371129;4.501047;9.864315;0.112343;51,929;7,360
14;0.1400988411031407;57;0;0.087172;51,801;51,801;0;0;1,920;1.002471;3.833333;1.190266;22,515;29,286;51,801;0;0;0;0.000174846615139119;0.0001796521637412983;4.501047;9.864315;0.112343;51,929;7,360
15;0.1500788517682625;56;0;0.085870;51,801;51,801;0;0;1,920;1.002471;3.833333;1.277334;22,515;29,286;51,801;0;0;0;0.0001753683995907554;0.0001803335424300282;4.501047;9.864315;0.112343;51,929;7,360
16;0.1601660815340218;56;0;0.084014;51,801;51,801;0;0;1,920;1.002471;3.833333;1.362523;22,515;29,286;51,801;0;0;0;0.0001792445198925359;0.0001808996754412486;4.501047;9.864315;0.112343;51,929;7,360
17;0.170044809406671;55;0;0.082902;51,801;51,801;0;0;1,920;1.002471;3.833333;1.446624;22,515;29,286;51,801;0;0;0;0.0001787573926283225;0.0001809263184858185;4.501047;9.864315;0.112343;51,929;7,360
18;0.1800780295156702;57;0;0.085702;51,801;51,801;0;0;1,920;1.002471;3.833333;1.533538;22,515;29,286;51,801;0;0;0;0.0001714227222944977;0.0001807395126401009;4.501047;9.864315;0.112343;51,929;7,360
19;0.190089277488631;57;0;0.084413;51,801;51,801;0;0;1,920;1.002471;3.833333;1.619143;22,515;29,286;51,801;0;0;0;0.0001727028910465827;0.000177015795649443;4.501047;9.864315;0.112343;51,929;7,360
20;0.2000538518255251;58;0;0.089327;51,801;51,801;0;0;1,920;1.002471;3.833333;1.709660;22,515;29,286;51,801;0;0;0;0.0001690845678567773;0.0001755507067168364;4.501047;9.864315;0.112343;51,929;7,360
21;0.2101348302341983;57;0;0.089669;51,801;51,801;0;0;1,920;1.002471;3.833333;1.800478;22,515;29,286;51,801;0;0;0;0.0001729759062279052;0.0001780017556634308;4.501047;9.864315;0.112343;51,929;7,360
22;0.2201415467506402;57;0;0.090766;51,801;51,801;0;0;1,920;1.002471;3.833333;1.892518;22,515;29,286;51,801;0;0;0;0.000174116498237109;0.0001772273544374214;4.501047;9.864315;0.112343;51,929;7,360
23;0.2300758193026707;57;0;0.092171;51,801;51,801;0;0;1,920;1.002471;3.833333;1.985998;22,515;29,286;51,801;0;0;0;0.0001706003723805197;0.0001775777330185797;4.501047;9.864315;0.112343;51,929;7,360
24;0.2401173233289315;58;0;0.091426;51,801;51,801;0;0;1,920;1.002471;3.833333;2.078652;22,515;29,286;51,801;0;0;0;0.0001714791989213574;0.0001747717559130883;4.501047;9.864315;0.112343;51,929;7,360
25;0.2500193518399443;57;0;0.090053;51,801;51,801;0;0;1,920;1.002471;3.833333;2.169932;22,515;29,286;51,801;0;0;0;0.0001712549865896167;0.0001756716396970857;4.501047;9.864315;0.112343;51,929;7,360
26;0.2601405537520917;58;0;0.092161;51,801;51,801;0;0;1,920;1.002471;3.833333;2.263677;22,515;29,286;51,801;0;0;0;0.0001724401631771582;0.0001756230544977598;4.501047;9.864315;0.112343;51,929;7,360
27;0.2700768940983942;58;0;0.093820;51,801;51,801;0;0;1,920;1.002471;3.833333;2.359289;22,515;29,286;51,801;0;0;0;0.0001615383699633505;0.0001732441264109605;4.501047;9.864315;0.112343;51,929;7,360
28;0.2801559026732421;63;0;0.100801;51,801;51,801;0;0;1,920;1.002471;3.833333;2.461977;22,515;29,286;51,801;0;0;0;0.0001501650945535713;0.0001685211044118868;4.501047;9.864315;0.112343;51,929;7,360
29;0.2901012625793366;60;0;0.095726;51,801;51,801;0;0;1,920;1.002471;3.833333;2.559387;22,515;29,286;51,801;0;0;0;0.0001586646477201166;0.0001740019786865924;4.501047;9.864315;0.112343;51,929;7,360
30;0.3000189887187378;58;0;0.092871;51,801;51,801;0;0;1,920;1.002471;3.833333;2.653751;22,515;29,286;51,801;0;0;0;0.0001636089748805556;0.0001749647941117621;4.501047;9.864315;0.112343;51,929;7,360
31;0.3100014838844934;58;0;0.101657;51,801;51,801;0;0;1,920;1.002471;3.833333;2.757315;22,515;29,286;51,801;0;0;0;0.0001666065157270044;0.0001764142812269642;4.501047;9.864315;0.112343;51,929;7,360
