time [s];force [N];forcex [N];forcey [N];forcez [N]
0.000000;41.4435;41.428;4.76837e-07;1.13457
0.005016;27.6689;27.6038;-0.000275016;-1.89614
0.010018;86.0934;-85.7695;0.000459671;7.46111
0.015008;23.9248;21.2328;-0.00143695;-11.0256
0.020002;66.6931;33.1974;-0.00121546;-57.8437
0.025181;41.8576;-20.6167;0.00438467;36.4282
0.030166;39.4083;-11.3346;-0.00532433;-37.7431
0.035150;52.6439;36.161;0.00205112;-38.2591
0.040130;7.3767;5.46195;0.00365502;-4.9581
0.045104;30.4496;30.2082;0.00277662;-3.82662
0.050069;49.7003;29.2918;-0.000833511;-40.1511
0.055015;50.3745;32.0454;0.00671625;38.8675
0.060106;121.69;-0.1091;0.00962734;121.69
0.065169;403.576;-39.211;-0.00602341;401.667
0.070051;539.214;-105.549;-0.0313969;528.783
0.075132;311.439;-127.694;0.0246429;284.057
0.080037;183.827;14.7604;0.0456161;183.234
0.085121;233.023;61.973;-0.0150757;224.631
0.090010;307.639;-39.0787;-0.0239162;305.147
0.095090;129.496;-47.2323;-0.0492182;120.575
0.100170;118.943;31.5202;-0.00849557;114.69
0.105055;14.8565;-6.43312;0.0219768;-13.3914
0.110146;68.8187;-31.9433;-0.0030061;-60.9561
0.115051;65.0337;20.0397;0.0237324;61.8692
0.120153;78.8583;6.63782;-0.0332832;78.5784
0.125020;86.8079;62.7384;-0.0205994;59.9958
0.130047;68.9301;37.8121;-0.0111833;57.6333
0.135170;133.216;41.7148;0.0596504;126.517
0.140099;146.667;-11.4518;0.0601835;146.219
0.145040;26.98;-21.0108;-0.0197744;-16.9253
0.150079;78.3412;4.18828;-0.0301669;-78.2291
0.155136;55.9363;-12.9173;0.00987411;54.4244
0.160166;71.3194;-2.11609;0.0123162;71.288
0.165033;48.5713;-19.1236;0.0290456;44.6481
0.170045;21.9288;-12.8505;-0.0248976;-17.7689
0.175064;29.8387;9.76459;-0.00605261;-28.1957
0.180078;10.4542;6.5593;0.0141516;-8.14035
0.185153;80.5888;-8.32568;0.00839043;80.1576
0.190089;131.856;-3.57245;0.0587559;131.808
0.195126;219.657;-24.2679;-0.0346184;218.312
0.200054;364.27;-58.7654;-0.0695992;359.499
0.205168;321.39;11.1057;-0.0661049;321.198
0.210135;200.881;25.6064;-0.0828247;199.242
0.215082;66.5072;-14.7337;0.055244;64.8546
0.220142;37.7418;28.2477;0.151475;-25.0297
0.225069;46.5922;45.6337;0.0542701;-9.40181
0.230076;36.8439;15.2657;-0.227776;33.5318
0.235094;118.224;-16.9412;0.0203223;117.004
0.240117;75.3138;-4.88242;0.0230055;75.1553
0.245122;14.938;12.0507;0.0564915;8.82737
0.250019;23.2977;-3.25162;0.100185;-23.0694
0.255095;59.6716;6.06353;-0.0150027;59.3627
0.260141;133.218;36.9913;-0.0129762;127.979
0.265112;68.4377;-21.6884;-0.030519;64.9102
0.270077;91.4371;-36.4529;0.0892344;83.8566
0.275048;171.382;18.8255;-0.114686;170.345
0.280156;161.04;-11.6113;-0.466963;160.62
0.285058;194.389;-70.6215;0.0963669;181.107
0.290101;344.784;1.18329;0.328995;344.781
0.295154;287.467;58.6676;0.382926;281.417
0.300019;79.7407;52.072;0.402653;60.3897
0.305072;84.4818;40.3176;-0.221393;74.2403
0.310001;31.8095;-5.25297;-0.263294;31.3716
0.315100;84.5151;-53.3412;-0.097338;-65.5554
0.320027;20.9272;1.13339;-0.225238;20.8953
0.325067;55.1648;34.2878;-0.129286;43.2144
0.330014;39.2607;23.4122;-0.0466843;31.5162
0.335018;98.5031;-3.98808;-0.247338;98.4221
0.340045;82.4154;14.8419;-0.581243;81.0659
0.345158;146.338;-18.4165;0.059227;145.174
0.350053;166.544;-58.5253;1.19846;155.917
0.355108;36.3249;-13.3701;0.449129;33.7719
0.360058;13.0149;11.5235;-0.0417633;6.04928
0.365089;30.0816;9.35562;-0.101724;28.5896
0.370064;62.5217;-2.15344;0.436337;62.4831
0.375082;101.632;-24.3274;-0.457889;98.6762
0.380016;107.48;-25.0242;-0.0279741;104.527
0.385044;122.525;8.66933;-1.16143;122.213
0.390093;110.14;44.871;-0.252176;100.585
0.395042;136.057;68.2765;-0.988274;117.681
0.400002;172.741;50.9983;0.927719;165.039
0.405106;159.067;8.34253;-0.24789;158.848
0.410140;154.113;-47.3835;-0.408418;146.647
