Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;330,040;330,040;0;0;9,280;1.000388;5.547414;0.000000;87,979;242,061;330,040;0;0;0;0;0;32.160965;50.189636;0.785561;330,168;51,480
1;0.00504097862176101;52;0;0.154475;330,040;330,040;0;0;9,280;1.000388;5.547414;0.154475;87,979;242,061;330,040;0;0;0;9.147132282738213e-05;9.197247762212832e-05;28.382492;62.784546;0.785561;330,168;51,480
2;0.01006009475882495;55;0;0.174095;330,040;330,040;0;0;9,280;1.000388;5.547414;0.337397;87,979;242,061;330,040;0;0;0;9.105387260413326e-05;9.159037620087897e-05;28.382492;62.784546;0.785561;330,168;51,480
3;0.01505683709350763;55;0;0.161372;330,040;330,040;0;0;9,280;1.000388;5.547414;0.510623;87,979;242,061;330,040;0;0;0;0.0000906600010409698;9.111401064310361e-05;28.382492;62.784546;0.785561;330,168;51,480
4;0.0200699969921102;55;0;0.172413;330,040;330,040;0;0;9,280;1.000388;5.547414;0.692683;87,979;242,061;330,040;0;0;0;9.098624773727942e-05;9.148028911590423e-05;28.382492;62.784546;0.785561;330,168;51,480
5;0.0250764719462643;55;0;0.183735;330,040;330,040;0;0;9,280;1.000388;5.547414;0.886376;87,979;242,061;330,040;0;0;0;9.080087569053885e-05;9.122887668546352e-05;28.382492;62.784546;0.785561;330,168;51,480
6;0.03007060148118942;55;0;0.185315;330,040;330,040;0;0;9,280;1.000388;5.547414;1.085804;87,979;242,061;330,040;0;0;0;0.0000907510436015691;9.092331982117394e-05;28.382492;62.784546;0.785561;330,168;51,480
7;0.03508327463006105;55;0;0.192208;330,040;330,040;0;0;9,280;1.000388;5.547414;1.288871;87,979;242,061;330,040;0;0;0;9.093633718590032e-05;9.127610734119745e-05;28.382492;62.784546;0.785561;330,168;51,480
8;0.04008842663616267;55;0;0.166393;330,040;330,040;0;0;9,280;1.000388;5.547414;1.468054;87,979;242,061;330,040;0;0;0;9.076661774632042e-05;9.131039425221095e-05;28.382492;62.784546;0.785561;330,168;51,480
9;0.04506545261171546;56;0;0.171300;330,040;330,040;0;0;9,860;1.000388;5.221095;1.647756;87,979;242,061;330,040;0;0;0;0.0000881538928867454;9.072700080701305e-05;28.382492;62.784546;0.785561;330,168;51,480
10;0.05006455163199098;57;0;0.286178;330,040;330,040;0;0;9,860;1.000388;5.221095;1.946303;87,979;242,061;330,040;0;0;0;8.696605389561161e-05;8.838570934304531e-05;28.382492;62.784546;0.785561;330,168;51,480
11;0.05504548686745393;57;0;0.180717;330,040;330,040;0;0;9,280;1.000388;5.547414;2.136781;87,979;242,061;330,040;0;0;0;8.717306496065395e-05;0.000087528425721178;28.382492;62.784546;0.785561;330,168;51,480
12;0.06002428693693017;57;0;0.179032;330,040;330,040;0;0;9,280;1.000388;5.547414;2.329361;87,979;242,061;330,040;0;0;0;0.0000869783241901491;8.758634990719202e-05;28.382492;62.784546;0.785561;330,168;51,480
13;0.06503193473089644;58;0;0.201396;330,040;330,040;0;0;10,080;1.000388;5.107143;2.542482;87,979;242,061;330,040;0;0;0;8.592888060839664e-05;8.696034063556117e-05;28.382492;62.784546;0.785561;330,168;51,480
14;0.07005477305312455;58;0;0.173190;330,040;330,040;0;0;10,080;1.000388;5.107143;2.726632;87,979;242,061;330,040;0;0;0;8.612495426418387e-05;8.697101307383534e-05;28.382492;62.784546;0.785561;330,168;51,480
15;0.07501684333173989;57;0;0.202465;330,040;330,040;0;0;10,080;1.000388;5.107143;2.938127;87,979;242,061;330,040;0;0;0;8.559015645983132e-05;8.745187754952567e-05;28.382492;62.784546;0.785561;330,168;51,480
16;0.08002945887019798;77;0;0.225835;330,040;330,040;0;0;10,080;1.000388;5.107143;3.174633;87,979;242,061;330,040;0;0;0;6.021979348465926e-05;8.343797620120735e-05;28.382492;62.784546;0.785561;330,168;51,480
17;0.08503883471884739;74;0;0.225168;330,040;330,040;0;0;10,080;1.000388;5.107143;3.408825;87,979;242,061;330,040;0;0;0;6.015051982588757e-05;7.637813290264904e-05;28.382492;62.784546;0.785561;330,168;51,480
18;0.09004761889759823;71;0;0.211852;330,040;330,040;0;0;10,080;1.000388;5.107143;3.629636;87,979;242,061;330,040;0;0;0;5.944953377850251e-05;8.269679867562238e-05;28.382492;62.784546;0.785561;330,168;51,480
19;0.09503618019314571;81;0;0.243641;330,040;330,040;0;0;10,080;1.000388;5.107143;3.883365;87,979;242,061;330,040;0;0;0;4.716891909855435e-05;7.513929163725745e-05;28.382492;62.784546;0.785561;330,168;51,480
20;0.1000108017692978;123;0;0.443888;330,040;330,040;0;0;10,080;1.000388;5.107143;4.335785;87,979;242,061;330,040;0;0;0;3.521625265638771e-05;4.745519657378816e-05;28.382492;62.784546;0.785561;330,168;51,480
21;0.1050273202993231;129;0;0.388197;330,040;330,040;0;0;10,080;1.000388;5.107143;4.731896;87,979;242,061;330,040;0;0;0;3.661288592267197e-05;4.271389234377958e-05;28.382492;62.784546;0.785561;330,168;51,480
22;0.1100170384612761;112;0;0.370147;330,040;330,040;0;0;10,080;1.000388;5.107143;5.109895;87,979;242,061;330,040;0;0;0;4.287360136212621e-05;4.637708398400688e-05;28.382492;62.784546;0.785561;330,168;51,480
23;0.1150166490572;108;0;0.346052;330,040;330,040;0;0;10,080;1.000388;5.107143;5.464783;87,979;242,061;330,040;0;0;0;4.373101586593433e-05;4.817502193227286e-05;28.382492;62.784546;0.785561;330,168;51,480
24;0.1200054585858718;113;0;0.344056;330,040;330,040;0;0;10,080;1.000388;5.107143;5.816692;87,979;242,061;330,040;0;0;0;3.834787446494697e-05;4.788416684606495e-05;28.382492;62.784546;0.785561;330,168;51,480
25;0.1250275576498244;116;0;0.430875;330,040;330,040;0;0;10,080;1.000388;5.107143;6.255486;87,979;242,061;330,040;0;0;0;3.549721616855362e-05;5.076090763668993e-05;28.382492;62.784546;0.785561;330,168;51,480
