time [s];force [N];forcex [N];forcey [N];forcez [N]
0.000000;68.2781;43.0233;-43.0233;-30.9821
0.002571;114.818;71.9121;-83.1132;-33.2266
0.005041;70.0087;22.8493;-10.5246;-65.3326
0.007509;131.299;-65.1109;113.608;-9.64802
0.010060;152.658;-126.828;57.6471;62.4166
0.012516;88.039;-57.1468;10.3212;66.1709
0.015057;189.879;167.763;-78.4579;-41.8791
0.017518;372.307;123.461;-102.958;-335.811
0.020070;30.443;-13.3296;-6.45731;-26.597
0.022531;165.333;-41.8059;32.8711;156.547
0.025076;109.77;-54.2736;73.7488;60.5378
0.027528;55.6789;-43.1907;34.8313;-4.63464
0.030071;173.731;18.6684;-47.2018;-166.151
0.032530;186.661;102.126;-101.495;-118.79
0.035083;41.929;32.9309;-5.78702;25.3003
0.037545;89.7734;-46.6281;58.4695;49.6628
0.040088;54.9248;-38.0601;39.5998;0.13185
0.042504;45.5783;-34.6717;5.14274;-29.1343
0.045065;26.8054;-12.5639;-10.4151;21.2651
0.047534;81.5106;7.97002;-1.74737;-81.1012
0.050065;84.5963;14.0809;28.4042;-78.4313
0.052509;57.6428;-17.8841;6.08415;54.4595
0.055045;43.7134;-30.7468;13.4656;28.0031
0.057582;11.6149;-1.50042;-7.63403;-8.62422
0.060024;112.866;68.2271;-56.4616;-69.9713
0.062537;238.851;169.744;-111.207;-125.974
0.065032;175.058;92.126;-101.144;-109.216
0.067536;165.89;-83.7463;56.7348;131.48
0.070055;386.393;-192.979;136.018;305.872
0.072581;505.477;-103.535;66.7102;490.242
0.075017;804.788;9.78357;-3.89897;804.719
0.077545;363.146;-40.7807;110.712;343.446
0.080029;369.959;-227.064;203.502;-209.519
0.082570;421.124;-157.345;48.4338;-387.61
0.085039;52.8019;1.96548;-51.0279;-13.4289
0.087558;249.95;-5.81214;-44.9081;245.814
0.090048;152.423;-39.4148;-36.8998;142.54
0.092510;211.872;117.786;-130.328;-118.452
0.095036;519.453;448.831;-120.675;-231.991
0.097512;463.172;359.298;-13.604;291.973
0.100011;723.885;127.729;14.0669;712.388
0.102537;1035.99;43.7218;43.1238;1034.17
0.105027;1215.09;-89.1573;60.3185;1210.31
0.107515;947.97;-758.549;111.838;557.442
0.110017;859.333;-640.657;137.381;-556.002
0.112517;392.718;162.622;-118.174;-337.367
0.115017;456.736;144.05;-130.749;413.233
0.117508;433.424;152.086;13.5658;405.638
0.120005;307.461;304.785;-8.60612;-39.5504
0.122530;256.921;192.246;-45.9325;164.134
0.125028;470.138;40.506;28.3532;467.531
0.127544;151.557;11.2969;15.5333;150.335
0.130035;122.308;-63.641;-27.9019;-100.651
0.132542;103.835;-93.8462;18.1599;40.555
0.135028;233.843;-8.66518;107.262;207.611
0.137522;73.0525;-0.818649;0.291414;73.0473
0.140024;137.639;118.937;-49.933;-48.0113
0.142517;63.1495;62.599;6.08701;-5.67269
0.145021;103.072;-96.2101;33.8995;14.7767
0.147544;146.81;-145.667;12.2925;-13.5414
0.150018;113.398;-59.9803;-17.3125;-94.6668
0.152537;63.1356;58.0587;-24.6489;2.77876
0.155054;94.9603;74.1761;2.02165;59.256
0.157510;24.1849;17.4804;8.3437;14.4819
0.160012;94.8317;-54.0751;-9.42405;-77.3312
0.162535;100.172;-87.7982;-26.6826;-40.1739
0.165033;37.3418;3.17893;-23.7676;-28.6253
0.167508;35.2074;31.974;-13.7547;-5.2945
0.170024;34.7853;-15.7226;-3.84953;30.7896
0.172529;26.9144;1.03392;-25.9143;7.19493
0.175045;59.0815;44.2383;-7.93747;-38.3484
0.177533;57.141;43.6271;12.4927;34.7232
0.180021;92.6751;12.5627;10.9281;91.1671
0.182522;103.896;3.98717;-1.92671;103.802
0.185030;118.557;3.89367;-0.864348;118.49
0.187534;146.666;-37.5552;20.5349;140.281
0.190019;177.544;-35.2482;38.7414;169.642
0.192565;213.507;43.1785;27.1408;207.326
0.195063;194.548;50.9373;19.5511;186.741
0.197532;79.9945;-18.23;-9.12007;77.3538
0.200052;95.5909;-88.6287;-35.7493;2.13439
0.202510;110.793;-92.3834;-60.8619;-6.01474
0.205003;51.3743;-12.5539;-49.8128;0.640876
0.207554;105.959;105.499;-7.96534;-5.8254
0.210005;123.876;112.139;48.49;20.4636
0.212527;123.967;48.9939;60.7215;96.3347
0.215002;127.593;9.61744;-21.5553;125.39
0.217506;104.408;40.9648;-62.7143;72.7311
0.220041;122.684;27.5154;15.5941;118.538
0.222504;280.606;-21.5828;79.1744;268.338
0.225007;314.54;-56.211;24.3307;308.519
0.227534;182.628;-70.7663;-60.5015;157.114
0.230013;70.3587;-50.1999;-36.1468;33.522
0.232512;100.487;-34.749;47.0218;81.7258
0.235032;226.843;-79.2976;67.8679;201.404
0.237519;252.811;-18.6127;47.0181;247.702
0.240002;230.953;30.8592;23.6703;227.655
0.242549;362.786;196.102;-29.1849;303.819
0.245010;438.738;213.814;-71.2333;376.431
0.247535;171.964;32.9406;-94.217;140.034
0.250025;213.627;-164.15;-19.497;-135.318
0.252554;213.911;-181.207;45.7235;-104.075
0.255046;108.935;-72.3801;44.9746;67.8624
0.257531;79.192;62.4056;6.40961;48.3304
0.260001;194.724;153.076;-106.213;-56.6049
0.262532;142.194;103.305;-58.843;-78.0047
0.265015;90.0899;-35.5843;71.9156;-40.9646
0.267506;104.585;-97.3005;37.9995;5.17073
0.270042;79.9568;-77.1524;4.44798;20.5137
0.272523;42.2467;-41.903;-3.50605;4.07764
0.275049;55.9201;15.1327;-25.5489;-47.3847
0.277535;78.7309;59.036;-13.0207;-50.4357
0.280035;34.6678;29.5854;17.6358;3.94176
0.282546;32.2408;-15.457;9.15172;26.7731
0.285033;51.8056;-46.2797;10.9462;20.5475
0.287573;97.1927;-70.2761;11.9662;66.0644
0.290011;125.715;-39.1904;17.7804;118.12
0.292504;159.423;38.3542;24.4083;152.804
0.295027;220.078;8.6922;49.3511;214.297
0.297562;233.721;-6.85459;56.7441;226.624
0.300041;174.767;54.1272;17.3726;165.264
0.302510;111.134;77.8381;-29.5402;73.6169
0.305039;71.2366;-12.7987;-67.4916;-18.8608
0.307526;184.778;-121.54;-138.598;12.7165
0.310049;249.156;-116.181;-195.298;102.175
0.312557;147.448;-19.7743;-104.405;102.223
0.315036;132.332;71.3462;100.503;48.1738
0.317535;215.33;42.5579;183.512;104.303
0.320031;234.473;-40.7624;136.325;186.364
0.322501;145.537;-39.3628;10.9125;139.687
0.325016;127.035;65.3372;-83.5692;69.8931
0.327529;210.477;163.696;-40.0502;126.096
0.330031;288.236;194.564;34.9792;209.764
0.332535;184.532;53.9918;111.102;137.089
0.335072;184.482;-134.127;123.225;29.3182
0.337555;109.896;-101.915;11.6841;39.4222
0.340013;172.483;53.36;-125.531;105.569
0.342545;174.763;70.9646;-106.02;119.44
0.345036;41.0928;-26.3563;16.3382;26.9635
0.347517;86.6268;-79.941;29.4069;15.7761
0.350064;162.359;-70.2505;-52.2658;136.724
0.352506;230.208;-69.659;-119.154;184.244
0.355049;150.186;-80.243;-66.8885;107.902
0.357548;125.161;51.9273;29.091;110.102
0.360001;151.071;75.4595;22.1015;128.996
