#Time;Degrees
0.000000;0.000000000
0.005000;0.000000000
0.010000;0.000000000
0.015000;0.000000000
0.020000;0.000000000
0.025000;0.000000000
0.030000;0.000000000
0.035000;0.000000000
0.040000;0.000000000
0.045000;0.000000000
0.050000;0.000000000
0.055000;0.000000000
0.060000;0.000000000
0.065000;0.000000000
0.070000;0.000000000
0.075000;0.000000000
0.080000;0.000000000
0.085000;0.000000000
0.090000;0.000000000
0.095000;0.000000000
0.100000;0.000000000
0.105000;0.000000000
0.110000;0.000000000
0.115000;0.000000000
0.120000;0.000000000
0.125000;0.000000000
0.130000;0.000000000
0.135000;0.000000000
0.140000;0.000000000
0.145000;0.000000000
0.150000;0.000000000
0.155000;0.000000000
0.160000;0.000000000
0.165000;0.000000000
0.170000;0.000000000
0.175000;0.000000000
0.180000;0.000000000
0.185000;0.000000000
0.190000;0.000000000
0.195000;0.000000000
0.200000;0.000000000
0.205000;0.000000000
0.210000;0.000000000
0.215000;0.000000000
0.220000;0.000000000
0.225000;0.000000000
0.230000;0.000000000
0.235000;0.000000000
0.240000;0.000000000
0.245000;0.000000000
0.250000;0.000000000
0.255000;0.000000000
0.260000;0.000000000
0.265000;0.000000000
0.270000;0.000000000
0.275000;0.000000000
0.280000;0.000000000
0.285000;0.000000000
0.290000;0.000000000
0.295000;0.000000000
0.300000;0.000000000
0.305000;0.000000000
0.310000;0.000000000
0.315000;0.000000000
0.320000;0.000000000
0.325000;0.000000000
0.330000;0.000000000
0.335000;0.000000000
0.340000;0.000000000
0.345000;0.000000000
0.350000;0.000000000
0.355000;0.000000000
0.360000;0.000000000
0.365000;0.000000000
0.370000;0.000000000
0.375000;0.000000000
0.380000;0.000000000
0.385000;0.000000000
0.390000;0.000000000
0.395000;0.000000000
0.400000;0.000000000
0.405000;0.000000000
0.410000;0.000000000
0.415000;0.000000000
0.420000;0.000000000
0.425000;0.000000000
0.430000;0.000000000
0.435000;0.000000000
0.440000;0.000000000
0.445000;0.000000000
0.450000;0.000000000
0.455000;0.000000000
0.460000;0.000000000
0.465000;0.000000000
0.470000;0.000000000
0.475000;0.000000000
0.480000;0.000000000
0.485000;0.000000000
0.490000;0.000000000
0.495000;0.000000000
0.500000;0.000000000
0.505000;-0.008964351
0.510000;-0.035854342
0.515000;-0.080660792
0.520000;-0.143368397
0.525000;-0.223955745
0.530000;-0.322395313
0.535000;-0.438653486
0.540000;-0.572690561
0.545000;-0.724460764
0.550000;-0.893912267
0.555000;-1.080987201
0.560000;-1.285621681
0.565000;-1.507745824
0.570000;-1.747283776
0.575000;-2.004153733
0.580000;-2.278267976
0.585000;-2.569532895
0.590000;-2.877849022
0.595000;-3.203111068
0.600000;-3.545207956
0.605000;-3.904022861
0.610000;-4.279433248
0.615000;-4.671310915
0.620000;-5.079522034
0.625000;-5.503927204
0.630000;-5.944381489
0.635000;-6.400734476
0.640000;-6.872830319
0.645000;-7.360507799
0.650000;-7.863600374
0.655000;-8.381936239
0.660000;-8.915338382
0.665000;-9.463624647
0.670000;-10.026607795
0.675000;-10.604095568
0.680000;-11.195890753
0.685000;-11.801791254
0.690000;-12.421590156
0.695000;-13.055075798
0.700000;-13.702031846
0.705000;-14.362237364
0.710000;-15.035466893
0.715000;-15.721490526
0.720000;-16.420073987
0.725000;-17.130978709
0.730000;-17.853961919
0.735000;-18.588776719
0.740000;-19.335172172
0.745000;-20.092893382
0.750000;-20.861681590
0.755000;-21.641274255
0.760000;-22.431405146
0.765000;-23.231804434
0.770000;-24.042198785
0.775000;-24.862311449
0.780000;-25.691862358
0.785000;-26.530568222
0.790000;-27.378142622
0.795000;-28.234296114
0.800000;-29.098736322
0.805000;-29.971168039
0.810000;-30.851293333
0.815000;-31.738811639
0.820000;-32.633419873
0.825000;-33.534812525
0.830000;-34.442681772
0.835000;-35.356717576
0.840000;-36.276607795
0.845000;-37.202038288
0.850000;-38.132693021
0.855000;-39.068254176
0.860000;-40.008402260
0.865000;-40.952816213
0.870000;-41.901173519
0.875000;-42.853150315
0.880000;-43.808421500
0.885000;-44.766660852
0.890000;-45.727541132
0.895000;-46.690734201
0.900000;-47.655911128
0.905000;-48.622742308
0.910000;-49.590897567
0.915000;-50.560046282
0.920000;-51.529857490
0.925000;-52.500000000
0.930000;-53.470142510
0.935000;-54.439953718
0.940000;-55.409102433
0.945000;-56.377257692
0.950000;-57.344088872
0.955000;-58.309265799
0.960000;-59.272458868
0.965000;-60.233339148
0.970000;-61.191578500
0.975000;-62.146849685
0.980000;-63.098826481
0.985000;-64.047183787
0.990000;-64.991597740
0.995000;-65.931745824
1.000000;-66.867306979
1.005000;-67.797961712
1.010000;-68.723392205
1.015000;-69.643282424
1.020000;-70.557318228
1.025000;-71.465187475
1.030000;-72.366580127
1.035000;-73.261188361
1.040000;-74.148706667
1.045000;-75.028831961
1.050000;-75.901263678
1.055000;-76.765703886
1.060000;-77.621857378
1.065000;-78.469431778
1.070000;-79.308137642
1.075000;-80.137688551
1.080000;-80.957801215
1.085000;-81.768195566
1.090000;-82.568594854
1.095000;-83.358725745
1.100000;-84.138318410
1.105000;-84.907106618
1.110000;-85.664827828
1.115000;-86.411223281
1.120000;-87.146038081
1.125000;-87.869021291
1.130000;-88.579926013
1.135000;-89.278509474
1.140000;-89.964533107
1.145000;-90.637762636
1.150000;-91.297968154
1.155000;-91.944924202
1.160000;-92.578409844
1.165000;-93.198208746
1.170000;-93.804109247
1.175000;-94.395904432
1.180000;-94.973392205
1.185000;-95.536375353
1.190000;-96.084661618
1.195000;-96.618063761
1.200000;-97.136399626
1.205000;-97.639492201
1.210000;-98.127169681
1.215000;-98.599265524
1.220000;-99.055618511
1.225000;-99.496072796
1.230000;-99.920477966
1.235000;-100.328689085
1.240000;-100.720566752
1.245000;-101.095977139
1.250000;-101.454792044
1.255000;-101.796888932
1.260000;-102.122150978
1.265000;-102.430467105
1.270000;-102.721732024
1.275000;-102.995846267
1.280000;-103.252716224
1.285000;-103.492254176
1.290000;-103.714378319
1.295000;-103.919012799
1.300000;-104.106087733
1.305000;-104.275539236
1.310000;-104.427309439
1.315000;-104.561346514
1.320000;-104.677604687
1.325000;-104.776044255
1.330000;-104.856631603
1.335000;-104.919339208
1.340000;-104.964145658
1.345000;-104.991035649
1.350000;-105.000000000
1.355000;-105.000000000
1.360000;-105.000000000
1.365000;-105.000000000
1.370000;-105.000000000
1.375000;-105.000000000
1.380000;-105.000000000
1.385000;-105.000000000
1.390000;-105.000000000
1.395000;-105.000000000
1.400000;-105.000000000
1.405000;-105.000000000
1.410000;-105.000000000
1.415000;-105.000000000
1.420000;-105.000000000
1.425000;-105.000000000
1.430000;-105.000000000
1.435000;-105.000000000
1.440000;-105.000000000
1.445000;-105.000000000
1.450000;-105.000000000
1.455000;-105.000000000
1.460000;-105.000000000
1.465000;-105.000000000
1.470000;-105.000000000
1.475000;-105.000000000
1.480000;-105.000000000
1.485000;-105.000000000
1.490000;-105.000000000
1.495000;-105.000000000
1.500000;-105.000000000
1.505000;-105.000000000
1.510000;-105.000000000
1.515000;-105.000000000
1.520000;-105.000000000
1.525000;-105.000000000
1.530000;-105.000000000
1.535000;-105.000000000
1.540000;-105.000000000
1.545000;-105.000000000
1.550000;-105.000000000
1.555000;-105.000000000
1.560000;-105.000000000
1.565000;-105.000000000
1.570000;-105.000000000
1.575000;-105.000000000
1.580000;-105.000000000
1.585000;-105.000000000
1.590000;-105.000000000
1.595000;-105.000000000
1.600000;-105.000000000
1.605000;-105.000000000
1.610000;-105.000000000
1.615000;-105.000000000
1.620000;-105.000000000
1.625000;-105.000000000
1.630000;-105.000000000
1.635000;-105.000000000
1.640000;-105.000000000
1.645000;-105.000000000
1.650000;-105.000000000
1.655000;-105.000000000
1.660000;-105.000000000
1.665000;-105.000000000
1.670000;-105.000000000
1.675000;-105.000000000
1.680000;-105.000000000
1.685000;-105.000000000
1.690000;-105.000000000
1.695000;-105.000000000
1.700000;-105.000000000
1.705000;-105.000000000
1.710000;-105.000000000
1.715000;-105.000000000
1.720000;-105.000000000
1.725000;-105.000000000
1.730000;-105.000000000
1.735000;-105.000000000
1.740000;-105.000000000
1.745000;-105.000000000
1.750000;-105.000000000
1.755000;-105.000000000
1.760000;-105.000000000
1.765000;-105.000000000
1.770000;-105.000000000
1.775000;-105.000000000
1.780000;-105.000000000
1.785000;-105.000000000
1.790000;-105.000000000
1.795000;-105.000000000
1.800000;-105.000000000
1.805000;-105.000000000
1.810000;-105.000000000
1.815000;-105.000000000
1.820000;-105.000000000
1.825000;-105.000000000
1.830000;-105.000000000
1.835000;-105.000000000
1.840000;-105.000000000
1.845000;-105.000000000
1.850000;-105.000000000
1.855000;-105.000000000
1.860000;-105.000000000
1.865000;-105.000000000
1.870000;-105.000000000
1.875000;-105.000000000
1.880000;-105.000000000
1.885000;-105.000000000
1.890000;-105.000000000
1.895000;-105.000000000
1.900000;-105.000000000
1.905000;-105.000000000
1.910000;-105.000000000
1.915000;-105.000000000
1.920000;-105.000000000
1.925000;-105.000000000
1.930000;-105.000000000
1.935000;-105.000000000
1.940000;-105.000000000
1.945000;-105.000000000
1.950000;-105.000000000
1.955000;-105.000000000
1.960000;-105.000000000
1.965000;-105.000000000
1.970000;-105.000000000
1.975000;-105.000000000
1.980000;-105.000000000
1.985000;-105.000000000
1.990000;-105.000000000
1.995000;-105.000000000
2.000000;-105.000000000
2.005000;-105.000000000
2.010000;-105.000000000
2.015000;-105.000000000
2.020000;-105.000000000
2.025000;-105.000000000
2.030000;-105.000000000
2.035000;-105.000000000
2.040000;-105.000000000
2.045000;-105.000000000
2.050000;-105.000000000
2.055000;-105.000000000
2.060000;-105.000000000
2.065000;-105.000000000
2.070000;-105.000000000
2.075000;-105.000000000
2.080000;-105.000000000
2.085000;-105.000000000
2.090000;-105.000000000
2.095000;-105.000000000
2.100000;-105.000000000
2.105000;-105.000000000
2.110000;-105.000000000
2.115000;-105.000000000
2.120000;-105.000000000
2.125000;-105.000000000
2.130000;-105.000000000
2.135000;-105.000000000
2.140000;-105.000000000
2.145000;-105.000000000
2.150000;-105.000000000
2.155000;-105.000000000
2.160000;-105.000000000
2.165000;-105.000000000
2.170000;-105.000000000
2.175000;-105.000000000
2.180000;-105.000000000
2.185000;-105.000000000
2.190000;-105.000000000
2.195000;-105.000000000
2.200000;-105.000000000
2.205000;-105.000000000
2.210000;-105.000000000
2.215000;-105.000000000
2.220000;-105.000000000
2.225000;-105.000000000
2.230000;-105.000000000
2.235000;-105.000000000
2.240000;-105.000000000
2.245000;-105.000000000
2.250000;-105.000000000
2.255000;-105.000000000
2.260000;-105.000000000
2.265000;-105.000000000
2.270000;-105.000000000
2.275000;-105.000000000
2.280000;-105.000000000
2.285000;-105.000000000
2.290000;-105.000000000
2.295000;-105.000000000
2.300000;-105.000000000
2.305000;-105.000000000
2.310000;-105.000000000
2.315000;-105.000000000
2.320000;-105.000000000
2.325000;-105.000000000
2.330000;-105.000000000
2.335000;-105.000000000
2.340000;-105.000000000
2.345000;-105.000000000
2.350000;-105.000000000
2.355000;-105.000000000
2.360000;-105.000000000
2.365000;-105.000000000
2.370000;-105.000000000
2.375000;-105.000000000
2.380000;-105.000000000
2.385000;-105.000000000
2.390000;-105.000000000
2.395000;-105.000000000
2.400000;-105.000000000
2.405000;-105.000000000
2.410000;-105.000000000
2.415000;-105.000000000
2.420000;-105.000000000
2.425000;-105.000000000
2.430000;-105.000000000
2.435000;-105.000000000
2.440000;-105.000000000
2.445000;-105.000000000
2.450000;-105.000000000
2.455000;-105.000000000
2.460000;-105.000000000
2.465000;-105.000000000
2.470000;-105.000000000
2.475000;-105.000000000
2.480000;-105.000000000
2.485000;-105.000000000
2.490000;-105.000000000
2.495000;-105.000000000
2.500000;-105.000000000
